id,element,useCase,type,component
1,User:Threads ,View the forum,entity,Threads
2,User:No threads available,View the forum,entity,Threads
3,User:List of threads,View the forum,entity,Threads
4,User:forum page,View the forum,control,Forumpage
5,List of threads:validate search input,View the forum,boundary,Invalidsearchinput
6,sort by likes:List of threads,View the forum,entity,Threads
7,load threads from db:No threads available,View the forum,entity,Threads
8,validate search input:Threads ,View the forum,entity,Threads
9,forum page:load threads from db,View the forum,entity,Threads
10,sort by likes:like,View the forum,boundary,likepostbutton
11,load threads from db:thread,View the forum,entity,Threads
12,load threads from db:sort by likes,View the forum,boundary,likepostbutton
13,validate search input:sort by likes,View the forum,boundary,likepostbutton
14,stl#User:Threads ,View the forum,Stimulus,undefined
15,stl#User:No threads available,View the forum,Stimulus,undefined
16,stl#User:List of threads,View the forum,Stimulus,undefined
17,stl#User:forum page,View the forum,Stimulus,undefined
