NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Add to cart,4,9,0,3,2,0,1,0,0,1,0,1,0,1,3,1,15,2.8181818181818183,11,3,42.27272727272727,4,0,12,4,4,3,2.64,7.359999999999999,0,1,4.0592,4.3977,4.714700000000001
2,Create profile,7,14,0,3,1,1,1,1,0,2,1,3,0,3,4,3,7.666666666666667,3.75,5.333333333333333,0.3333333333333333,28.75,8,0,19,7,7,5,1.9800000000000002,6.02,0.67,3.33,7.1036,10.7349,8.3576
3,Login,5,11,0,4,2,1,1,0,0,2,0,2,0,2,3,2,8.5,2.1666666666666665,6,0,18.416666666666664,4,0,16,5,5,4,1.98,5.02,0,2,5.074,5.6751,5.976500000000001
4,Logout,6,12,0,4,2,2,0,0,0,2,0,2,0,2,4,2,10.5,2.6,7.5,3,27.3,8,0,16,6,6,4,1.98,6.02,0,0,6.0888,6.749099999999999,7.143300000000001
5,Manage Catalog,5,11,0,4,2,2,0,0,0,1,0,2,0,1,3,2,8.5,2.1666666666666665,6,0.5,18.416666666666664,8,0,12,5,5,3,0.99,4.01,0,0,5.074,5.5733999999999995,5.929
6,Manage Profile,7,16,0,6,3,2,1,0,0,3,0,3,0,3,4,3,7.666666666666667,2.875,5.333333333333333,1,22.041666666666668,4,0,22,7,7,6,2.97,7.029999999999999,0,1,7.1036,10.633199999999999,10.799100000000001
7,Place Order,5,17,0,4,1,3,0,0,0,0,0,3,0,0,2,3,7,5.125,5.333333333333333,3.3333333333333335,35.875,8,0,11,5,5,3,0,2,0,0,5.074,12.055299999999999,9.2635
8,Private Message - Florist,6,14,0,3,2,1,0,0,0,0,0,0,0,0,6,0,0,6.115384615384615,0,0,0,0,5,20,6,5,6,7.61,11.39,0,0,6.0888,23.676099999999998,13.278799999999999
9,Private message,6,13,0,4,3,1,0,0,0,2,0,2,0,2,4,2,12,4.222222222222222,9,3,50.66666666666667,0,0,24,6,6,6,5.28,10.72,0,0,6.0888,11.2934,9.6323
10,Provide tracking information,3,7,0,3,1,1,1,0,0,1,0,1,0,1,2,1,10,1.7142857142857142,7,3,17.142857142857142,4,5,4,3,2,2,1.33,0.67,1,2,3.0443999999999996,3.2220000000000004,3.5004
11,Review and Rating,5,12,0,4,1,2,1,0,0,1,0,1,0,1,4,1,24,3.473684210526316,19,9,83.36842105263159,8,10,3,5,3,3,2.33,0.67,4,6,5.074,12.2287,8.574
12,Search Product,5,10,0,2,1,1,0,0,0,2,0,5,0,2,0,5,3.2,4.454545454545454,2.2,0.4,14.254545454545454,0,5,15,5,4,5,1.33,0.67,0,0,5.074,8.2818,6.023999999999999
13,Track Order,5,10,0,3,3,0,0,0,0,2,0,2,0,2,3,2,8,2.8181818181818183,5.5,2,22.545454545454547,0,0,20,5,5,5,3.63,7.370000000000001,0,0,5.074,5.4717,5.8815
14,Upload catalog,5,11,0,4,2,2,0,0,0,1,0,2,0,1,3,2,8.5,2.1666666666666665,6,0.5,18.416666666666664,8,0,12,5,5,3,0.99,4.01,0,0,5.074,5.5733999999999995,5.929
15,View Past Transactions,5,10,0,1,1,0,0,0,0,2,0,2,0,2,3,2,8,7,5.5,2.5,56,0,0,20,5,5,5,3.63,7.370000000000001,0,0,5.074,15.058,10.0615
16,View order history,5,10,0,1,1,0,0,0,0,2,0,2,0,2,3,2,8,7,5.5,2,56,0,0,20,5,5,5,3.63,7.370000000000001,0,0,5.074,15.058,10.0615
