NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Checkout,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,3.6,10,1,46.800000000000004,0,0,12,3,3,3,1.98,4.0200000000000005,0,0,3.0443999999999996,6.1979999999999995,4.4409
2,Configure Data Service,3,8,0,1,1,0,0,0,0,1,0,1,0,1,2,1,13,7,10,0,91,0,0,12,3,3,3,3.3000000000000003,6.7,0,0,3.0443999999999996,15.5972,8.0399
3,Create Account,3,9,0,2,1,1,0,0,0,2,0,3,0,2,0,3,5,5.333333333333333,4,0,26.666666666666664,0,5,8,3,2,3,1.33,0.67,0,0,3.0443999999999996,13.6596,8.262400000000001
4,Customize Data Service Subscription Notification,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,3,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.238900000000001
5,Decide Data Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Export Data File,3,8,0,2,1,1,0,0,0,2,0,3,0,2,0,3,4.333333333333333,4.4,3.3333333333333335,0,19.066666666666666,0,5,8,3,2,3,1.33,0.67,0,0,3.0443999999999996,8.1431,5.1914
7,Login,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,0,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.238900000000001
8,Logout,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,2,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.2389
9,Manage Data,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,2,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.2389
10,Receive Notification for Subscribed Data Service,4,10,0,3,1,1,1,0,0,1,0,1,0,1,3,1,20,3.875,16,0,77.5,4,0,12,4,4,3,2.31,5.69,0,1,4.0592,11.2564,7.4547
11,Receive Notification of Completion of Configuration by Email,3,8,0,3,1,2,0,0,0,1,0,1,0,1,2,1,13,2.4,10,0,31.2,0,5,8,3,2,3,2.66,1.34,0,0,3.0443999999999996,4.2604,3.5953999999999997
12,Send Data Through Cellular Technologies,3,9,0,2,1,1,0,0,0,1,0,1,0,1,2,1,15,4.166666666666667,12,4,62.50000000000001,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,10.0807,6.240399999999999
13,Subscribe Data Service,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,3,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.2389
14,Update Content,4,9,0,2,2,0,0,0,0,1,0,1,0,1,3,1,17,4.384615384615385,13,1,74.53846153846155,0,0,16,4,4,4,4.29,8.71,0,0,4.0592,8.107,6.4056999999999995
15,View Data,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,2,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.2389
