id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:Provider created success message-->Provider created success message:Update provider rating information-->Update provider rating information:Rating,EQ,1,3,0,0,3,actor->actor->entity
2,User:provider information input page-->provider information input page:create a new provider-->create a new provider:Provider created success message-->Provider created success message:Update provider rating information-->Update provider rating information:Rating,EQ,1,5,0,0,5,actor->actor->actor->actor->entity
3,User:provider information input page-->provider information input page:create a new provider-->create a new provider:Provider,EQ,1,3,0,0,3,actor->actor->actor
4,User:Add provider button-->Add provider button:Display provider add page-->Display provider add page:provider information input page-->provider information input page:create a new provider-->create a new provider:Provider created success message-->Provider created success message:Update provider rating information-->Update provider rating information:Rating,EQ,1,7,0,0,7,actor->actor->actor->actor->actor->actor->entity
5,User:Add provider button-->Add provider button:Display provider add page-->Display provider add page:provider information input page-->provider information input page:create a new provider-->create a new provider:Provider,EQ,1,5,0,0,5,actor->actor->actor->actor->actor
6,User:User profile page-->User profile page:verify input message-->verify input message:save udpated profile-->save udpated profile:profile,EQ,2,4,1,3,0,control->boundary->control->control
7,User:User profile page-->User profile page:verify input message-->verify input message:Error message for update failure,EO,0,3,2,1,0,control->boundary->boundary
8,User:Error message for update failure,EQ,0,1,1,0,0,boundary
9,User:Search provide page-->Search provide page:Display all provider based on criteria-->Display all provider based on criteria:Provider,EQ,0,3,0,0,3,actor->actor->actor
10,User:Search provide page-->Search provide page:Display all provider based on criteria-->Display all provider based on criteria:follow/unfollow button-->follow/unfollow button:Popup confirm diagram-->Popup confirm diagram:Redirect to search page-->Redirect to search page:Search provide page-->Search provide page:Display all provider based on criteria,EQ,1,7,0,3,4,actor->actor->actor->control->control->control->actor
11,User:Search provide page-->Search provide page:Display all provider based on criteria-->Display all provider based on criteria:follow/unfollow button-->follow/unfollow button:Popup confirm diagram-->Popup confirm diagram:Confirm dialog-->Confirm dialog:Update subscription information-->Update subscription information:Subscription,EQ,3,7,0,2,5,actor->actor->actor->control->control->entity->entity
12,User:Confirm dialog-->Confirm dialog:Update subscription information-->Update subscription information:Subscription,EI,2,3,0,1,2,control->entity->entity
13,User:follow/unfollow button-->follow/unfollow button:Popup confirm diagram-->Popup confirm diagram:Redirect to search page-->Redirect to search page:Search provide page-->Search provide page:Display all provider based on criteria-->Display all provider based on criteria:Provider,EQ,1,6,0,3,3,actor->control->control->control->actor->actor
14,User:follow/unfollow button-->follow/unfollow button:Popup confirm diagram-->Popup confirm diagram:Redirect to search page-->Redirect to search page:Search provide page-->Search provide page:Display all provider based on criteria-->Display all provider based on criteria:follow/unfollow button-->follow/unfollow button:Popup confirm diagram,EQ,2,7,0,4,3,actor->control->control->control->actor->actor->control
15,User:follow/unfollow button-->follow/unfollow button:Popup confirm diagram-->Popup confirm diagram:Confirm dialog-->Confirm dialog:Update subscription information-->Update subscription information:Subscription,EQ,3,5,0,2,3,actor->control->control->entity->entity
16,User:Login page-->Login page:verify user information-->verify user information:user info,EI,0,3,0,1,2,control->entity->entity
17,User:Login page-->Login page:verify user information-->verify user information:My account page,EQ,1,3,0,2,1,control->entity->control
18,User:Login page-->Login page:verify user information-->verify user information:Invalid information error message-->Invalid information error message:redirect to login page-->redirect to login page:Login page-->Login page:verify user information,EQ,1,6,1,3,2,control->entity->boundary->control->control->entity
19,User:My account page,EQ,0,1,0,1,0,control
20,User:Invalid information error message-->Invalid information error message:redirect to login page-->redirect to login page:Login page-->Login page:verify user information-->verify user information:user info,EI,1,5,1,2,2,boundary->control->control->entity->entity
21,User:Invalid information error message-->Invalid information error message:redirect to login page-->redirect to login page:Login page-->Login page:verify user information-->verify user information:My account page,EI,2,5,1,3,1,boundary->control->control->entity->control
22,User:Invalid information error message-->Invalid information error message:redirect to login page-->redirect to login page:Login page-->Login page:verify user information-->verify user information:Invalid information error message-->Invalid information error message:redirect to login page,EQ,2,6,2,3,1,boundary->control->control->entity->boundary->control
23,User:Forgotten username or password link-->Forgotten username or password link:send email including credential-->send email including credential:Email Protocol,EQ,1,3,1,1,1,boundary->control->actor
24,User:request status is successfully updated.,EQ,0,1,1,0,0,boundary
25,User:request list-->request list:update status of requests-->update status of requests:request status is successfully updated.,EQ,0,3,3,0,0,boundary->boundary->boundary
26,User:request list-->request list:update status of requests-->update status of requests:Request,EQ,0,3,3,0,0,boundary->boundary->boundary
27,User:check requests button-->check requests button:load requests-->load requests:request list-->request list:update status of requests-->update status of requests:request status is successfully updated.,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
28,User:check requests button-->check requests button:load requests-->load requests:request list-->request list:update status of requests-->update status of requests:Request,EQ,0,5,5,0,0,boundary->boundary->boundary->boundary->boundary
29,User:check requests button-->check requests button:load requests-->load requests:Request,EQ,1,3,3,0,0,boundary->boundary->boundary
30,User:Search provider page-->Search provider page:Display all provider based on criteria-->Display all provider based on criteria:rate button-->rate button:Display rating input page-->Display rating input page:Rating input page-->Rating input page:Update provider rating information-->Update provider rating information:Rating,EQ,1,7,0,1,6,control->actor->actor->entity->entity->actor->entity
31,User:Search provider page-->Search provider page:Display all provider based on criteria-->Display all provider based on criteria:rate button-->rate button:Display rating input page-->Display rating input page:Redirect to search page-->Redirect to search page:Search provider page-->Search provider page:Display all provider based on criteria,EQ,0,7,0,3,4,control->actor->actor->entity->control->control->actor
32,User:Search provider page-->Search provider page:Display all provider based on criteria-->Display all provider based on criteria:Provider,EQ,0,3,0,1,2,control->actor->actor
33,User:rate button-->rate button:Display rating input page-->Display rating input page:Rating input page-->Rating input page:Update provider rating information-->Update provider rating information:Rating,EQ,1,5,0,0,5,actor->entity->entity->actor->entity
34,User:rate button-->rate button:Display rating input page-->Display rating input page:Redirect to search page-->Redirect to search page:Search provider page-->Search provider page:Display all provider based on criteria-->Display all provider based on criteria:rate button-->rate button:Display rating input page,EQ,0,7,0,2,5,actor->entity->control->control->actor->actor->entity
35,User:rate button-->rate button:Display rating input page-->Display rating input page:Redirect to search page-->Redirect to search page:Search provider page-->Search provider page:Display all provider based on criteria-->Display all provider based on criteria:Provider,EQ,0,6,0,2,4,actor->entity->control->control->actor->actor
36,User:Rating input page-->Rating input page:Update provider rating information-->Update provider rating information:Rating,EQ,1,3,0,0,3,entity->actor->entity
37,User:non matched doctor,EQ,1,1,1,0,0,boundary
38,User:Search crieteria input page-->Search crieteria input page:retrieve matched doctors from db-->retrieve matched doctors from db:non matched doctor,EO,0,3,2,1,0,control->boundary->boundary
39,User:Search crieteria input page-->Search crieteria input page:retrieve matched doctors from db-->retrieve matched doctors from db:Invalid input message-->Invalid input message:OCR read the medical information-->OCR read the medical information:update the recognized information into database.-->update the recognized information into database.:Doctor,EQ,1,6,4,2,0,control->boundary->boundary->control->boundary->boundary
40,User:Search crieteria input page-->Search crieteria input page:retrieve matched doctors from db-->retrieve matched doctors from db:Invalid input message-->Invalid input message:OCR read the medical information-->OCR read the medical information:non matched doctor,EQ,1,5,3,2,0,control->boundary->boundary->control->boundary
41,User:Search crieteria input page-->Search crieteria input page:retrieve matched doctors from db-->retrieve matched doctors from db:Doctor,EO,0,3,2,1,0,control->boundary->boundary
