id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:unauthorized request message,View document,TRAN_NA,4,0,6.666666666666667,3,26.666666666666668
2,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:role,View document,TRAN_NA,4,0,5.666666666666667,3,22.666666666666668
3,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:document upload page-->document upload page:Validate print/download request-->Validate print/download request:print-->print:Printer service,View document,TRAN_NA,8,2,5.857142857142857,7,46.857142857142854
4,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:document upload page-->document upload page:Validate print/download request-->Validate print/download request:print-->print:case information page,View document,TRAN_NA,8,2,6.571428571428571,7,52.57142857142857
5,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:document upload page-->document upload page:Validate print/download request-->Validate print/download request:unauthorized request,View document,TRAN_NA,7,1,7.5,6,52.5
6,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:document upload page-->document upload page:Validate print/download request-->Validate print/download request:download-->download:File Manager,View document,TRAN_NA,8,1,7.571428571428571,7,60.57142857142857
7,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:document upload page-->document upload page:Validate print/download request-->Validate print/download request:download-->download:file manager,View document,TRAN_NA,8,1,7.571428571428571,7,60.57142857142857
8,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:document upload page-->document upload page:Validate print/download request-->Validate print/download request:role,View document,TRAN_NA,7,2,7,6,49
9,stl#Youth:document list-->Youth:document list-->document list:validate role of user-->validate role of user:query document-->query document:db,View document,TRAN_NA,5,2,5,4,25
10,stl#Youth:unauthorized request message-->Youth:unauthorized request message,View document,CTRL;EXTCLL;INT,2,0,8,1,16
11,stl#Youth:document upload page-->Youth:document upload page-->document upload page:Validate print/download request-->Validate print/download request:print-->print:Printer service,View document,TRAN_NA,5,1,5.5,4,27.5
12,stl#Youth:document upload page-->Youth:document upload page-->document upload page:Validate print/download request-->Validate print/download request:print-->print:case information page,View document,TRAN_NA,5,1,6.75,4,33.75
13,stl#Youth:document upload page-->Youth:document upload page-->document upload page:Validate print/download request-->Validate print/download request:unauthorized request,View document,TRAN_NA,4,0,8.666666666666666,3,34.666666666666664
14,stl#Youth:document upload page-->Youth:document upload page-->document upload page:Validate print/download request-->Validate print/download request:download-->download:File Manager,View document,TRAN_NA,5,0,8.5,4,42.5
15,stl#Youth:document upload page-->Youth:document upload page-->document upload page:Validate print/download request-->Validate print/download request:download-->download:file manager,View document,TRAN_NA,5,0,8.5,4,42.5
16,stl#Youth:document upload page-->Youth:document upload page-->document upload page:Validate print/download request-->Validate print/download request:role,View document,TRAN_NA,4,1,7.666666666666667,3,30.666666666666668
17,stl#Youth:unauthorized request-->Youth:unauthorized request,View document,CTRL;EXTCLL;INT,2,0,8,1,16
18,stl#Case Manager:document list-->Case Manager:document list-->document list:validate role of user-->validate role of user:unauthorized request message,View document,TRAN_NA,4,0,6.666666666666667,3,26.666666666666668
19,stl#Case Manager:document list-->Case Manager:document list-->document list:validate role of user-->validate role of user:role,View document,TRAN_NA,4,0,5.666666666666667,3,22.666666666666668
