id,element,useCase,type,component
1,Administrator:invalid case information error,Create a new case,control,Usermanagementbutton
2,Administrator:case information page,Create a new case,control,Usermanagementbutton
3,Administrator:unauthorized information message,Create a new case,boundary,unauthorizedrequest
4,Administrator:Creae new case button,Create a new case,control,Usermanagementbutton
5,Administrator:success message,Create a new case,boundary,activationsuccessmessage
6,Case Manager:Creae new case button,Create a new case,control,Usermanagementbutton
7,Case Manager:unauthorized information message,Create a new case,boundary,unauthorizedrequest
8,Case Manager:success message,Create a new case,boundary,activationsuccessmessage
9,Case Manager:invalid case information error,Create a new case,control,Usermanagementbutton
10,Case Manager:case information page,Create a new case,control,Usermanagementbutton
11,Creae new case button:validate role of user,Create a new case,entity,role
12,Validate the information of description:invalid case information error,Create a new case,control,Usermanagementbutton
13,Validate the information of description:save case information,Create a new case,boundary,activationsuccessmessage
14,case information page:Validate the information of description,Create a new case,boundary,activationsuccessmessage
15,save case information:case,Create a new case,entity,case
16,validate role of user:case information page,Create a new case,control,Usermanagementbutton
17,validate role of user:role,Create a new case,entity,role
18,save case information:update case information page,Create a new case,control,Usermanagementbutton
19,save case information:success message,Create a new case,boundary,activationsuccessmessage
20,update case information page:success message,Create a new case,boundary,activationsuccessmessage
21,validate role of user:unauthorized information message,Create a new case,boundary,unauthorizedrequest
22,stl#Administrator:invalid case information error,Create a new case,Stimulus,undefined
23,stl#Administrator:case information page,Create a new case,Stimulus,undefined
24,stl#Administrator:unauthorized information message,Create a new case,Stimulus,undefined
25,stl#Administrator:Creae new case button,Create a new case,Stimulus,undefined
26,stl#Administrator:success message,Create a new case,Stimulus,undefined
27,stl#Case Manager:Creae new case button,Create a new case,Stimulus,undefined
28,stl#Case Manager:unauthorized information message,Create a new case,Stimulus,undefined
29,stl#Case Manager:success message,Create a new case,Stimulus,undefined
30,stl#Case Manager:invalid case information error,Create a new case,Stimulus,undefined
31,stl#Case Manager:case information page,Create a new case,Stimulus,undefined
