id,operation,element
1,db,db
2,Usermanagementbutton,Usermanagementbutton
3,invalidinputinformationerror,Usermanagementbutton
4,unauthorizederrormessage,Usermanagementbutton
5,usereditpage,Usermanagementbutton
6,User,Usermanagementbutton
7,caseinformationpage,Usermanagementbutton
8,documentlist,Usermanagementbutton
9,Generalstaff,Usermanagementbutton
10,Creaenewcasebutton,Usermanagementbutton
11,generatearandompassword,Usermanagementbutton
12,usernameandreceivedpasswordinput,Usermanagementbutton
13,Reportbutton,Usermanagementbutton
14,FileManager,Usermanagementbutton
15,activationsuccessmessage,activationsuccessmessage
16,userisalreadyactivatederror,activationsuccessmessage
17,activtatetheuser,activationsuccessmessage
18,unauthorizedrequestmessage,activationsuccessmessage
19,savecaseinformation,activationsuccessmessage
20,Validatetheinformationofdescription,activationsuccessmessage
21,informatininvaliderrormessage,activationsuccessmessage
22,displayinformationeditpage,activationsuccessmessage
23,invalidsecurityquestions,activationsuccessmessage
24,checkthestatusofuser,checkthestatusofuser
25,verifytheroleoftheuser,checkthestatusofuser
26,createacasefortheuser,checkthestatusofuser
27,inactivtatetheuser,checkthestatusofuser
28,Usergrouplist,checkthestatusofuser
29,validateroleofuser,checkthestatusofuser
30,validateanswerofsecurityquestion,checkthestatusofuser
31,Administrator,Administrator
32,userisalreadyinactivatederror,Administrator
33,unauthorizedrequest,unauthorizedrequest
34,findemailaddressoftheselectedyouth,unauthorizedrequest
35,Resetsecurityquestions,unauthorizedrequest
36,print,print
37,Printerservice,print
38,download,download
39,Validateprintdownloadrequest,download
40,documentuploadpage,download
41,case,case
42,User,case
43,caseinformation,case
44,querydetailofacase,case
45,Addactivitiestocase,case
46,emailpassword,emailpassword
47,generatearandompassword,emailpassword
48,insertusernameandreceivedpasswordintoDB,emailpassword
49,Emailprotocol,emailpassword
50,sendemailpage,emailpassword
51,emailtemplate,emailpassword
52,reportdetailpage,emailpassword
53,Resetpasswordbutton,emailpassword
54,insertuserinfo,insertuserinfo
55,validateinputinformation,insertuserinfo
56,User,insertuserinfo
57,displayuserinformation,insertuserinfo
58,insertactivityintocase,insertuserinfo
59,blankdescriptionerror,blankdescriptionerror
60,activitydescriptionpage,blankdescriptionerror
61,verificationcodeinputfield,blankdescriptionerror
62,reportgenerationpage,blankdescriptionerror
63,invalidanswerforsecurityquestion,blankdescriptionerror
64,Validatetheinformationofdescription,blankdescriptionerror
65,savereporttodb,savereporttodb
66,role,role
67,validateroleofuser,role
