NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Activate user,24,34,0,4,1,2,1,0,0,3,0,14,0,3,10,14,10.857142857142858,16.6328125,9.142857142857142,1.2857142857142858,180.58482142857144,12,10,76,24,22,21,4.32,5.68,3.35,5.65,24.355200000000004,140.26449999999997,85.4877
2,Check case information,63,49,0,8,4,3,1,5,0,13,5,23,0,18,40,23,13.956521739130435,11.112403100775193,11.217391304347826,1.0869565217391304,155.09049544994943,20,75,172,63,48,58,44.139999999999965,38.86000000000003,6.7,8.3,63.932400000000044,318.16119999999984,202.37190000000015
3,Create a new case,26,31,0,5,2,1,2,0,0,4,0,6,0,4,20,6,20.666666666666668,7.183673469387755,16.333333333333332,0.6666666666666666,148.4625850340136,16,20,70,26,22,22,17.24,24.760000000000005,8.7,9.3,26.384800000000006,121.5432,73.87480000000001
4,Create a youth user,9,21,0,7,2,3,2,3,0,3,3,6,0,6,3,6,6,2.8518518518518516,4.5,1.8333333333333333,17.11111111111111,16,10,10,9,7,5,2.66,1.34,2.34,5.66,9.133199999999999,11.908700000000001,10.6437
5,Create high-level user,12,21,0,7,2,2,3,0,0,2,0,3,0,2,9,3,20.333333333333332,4.591836734693878,16.333333333333332,6.333333333333333,93.36734693877551,8,15,28,12,9,10,6.65,5.35,6.36,5.640000000000001,12.177599999999996,38.394,21.4236
6,Edit case,46,45,0,7,3,1,3,0,0,5,0,5,0,5,41,5,51.4,7.04739336492891,42.2,13.8,362.23601895734595,44,45,101,46,37,35,21.209999999999997,26.790000000000006,62.57000000000001,54.42999999999999,46.680800000000026,236.21569999999983,138.59629999999999
7,Edit user,24,29,0,6,1,2,3,1,0,1,1,2,0,2,22,2,83,9.485915492957746,71,16.5,787.3309859154929,32,5,59,24,23,16,1.33,0.67,33.160000000000004,35.839999999999996,24.355200000000004,145.779,87.7132
8,Inactivate user,11,19,0,7,3,2,2,1,0,5,1,6,0,6,5,6,8,2.5135135135135136,6.166666666666667,1.1666666666666667,20.10810810810811,16,15,15,11,8,7,3.99,4.01,2.34,5.66,11.162799999999997,16.8293,14.6683
9,Log an activity,35,37,0,5,0,2,3,10,0,0,10,25,0,10,10,25,6.8,16.11111111111111,5.4,0.64,109.55555555555554,80,0,60,35,35,15,0,0,0,30,35.518000000000015,185.71249999999992,100.808
10,Login,20,33,0,6,1,3,2,2,0,2,2,8,0,4,12,8,10.25,4.967741935483871,7.75,3.375,50.91935483870968,32,10,39,20,18,12,3.3200000000000003,4.68,3.34,10.66,20.296,46.973,34.17400000000001
11,Mass Email,42,43,0,6,2,2,2,0,0,12,0,15,0,12,27,15,15,7.80327868852459,12.2,2.2666666666666666,117.04918032786885,12,45,113,42,33,39,19.88999999999999,22.11000000000001,16.049999999999997,10.950000000000001,42.62160000000002,206.60669999999993,130.9926
12,Report generation,43,40,0,10,2,5,3,0,0,5,0,7,0,5,36,7,34.714285714285715,3.875,28.571428571428573,9,134.51785714285714,12,30,134,43,37,40,8.64,5.36,42.180000000000014,23.819999999999997,43.63640000000002,125.2503000000001,83.19490000000003
13,Reset Password,22,29,0,7,1,4,2,2,0,2,2,12,0,4,10,12,8,3.6216216216216215,6.166666666666667,2.8333333333333335,28.972972972972972,16,10,60,22,20,18,2.66,1.34,7.359999999999999,8.64,22.3256,45.1708,34.7216
14,Reset Security Questions,22,29,0,4,2,1,1,0,0,4,0,6,0,4,16,6,16,7.324324324324325,12.333333333333334,1.6666666666666667,117.1891891891892,16,0,68,22,22,18,15.840000000000002,40.16,5.36,6.640000000000001,22.3256,91.85620000000002,57.68060000000001
15,Upload document,22,30,0,6,3,2,1,0,0,4,0,6,0,4,16,6,16.666666666666668,4.487179487179487,13,3.5,74.7863247863248,8,10,70,22,20,20,11.24,18.76,6.02,5.98,22.3256,62.705999999999996,40.011599999999994
16,View document,51,39,0,6,2,2,2,0,0,6,0,6,0,6,45,6,45.5,7.013513513513513,37,7,319.11486486486484,84,15,108,51,48,30,19.83,79.17000000000002,19.08,19.919999999999995,51.75480000000003,252.90059999999988,158.3163
