id,element,useCase,type,component
1,User:Login Page,Login/Logout,control,LoginInfo
2,User:Logout Button,Login/Logout,boundary,Useraddbutton
3,User:Log failture message,Login/Logout,boundary,Removesession
4,User:Login success message,Login/Logout,control,LoginInfo
5,check login information:Log failture message,Login/Logout,boundary,Removesession
6,check login information:Login Info,Login/Logout,control,LoginInfo
7,Login Page:check login information,Login/Logout,control,LoginInfo
8,check login information:Login success message,Login/Logout,control,LoginInfo
9,Logout Button:Remove session,Login/Logout,boundary,Removesession
10,Remove session:session,Login/Logout,boundary,Removesession
11,stl#User:Login Page,Login/Logout,Stimulus,undefined
12,stl#User:Logout Button,Login/Logout,Stimulus,undefined
13,stl#User:Log failture message,Login/Logout,Stimulus,undefined
14,stl#User:Login success message,Login/Logout,Stimulus,undefined
