id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Admin:Types of attendance-->Admin:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:Data export success message,Export attendance,5,0,4,0,0
2,stl#Admin:Types of attendance-->Admin:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:csv files,Export attendance,5,0,4,0,0
3,stl#Admin:Attendance page-->Admin:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:Data export success message,Export attendance,7,0,6,0,0
4,stl#Admin:Attendance page-->Admin:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:csv files,Export attendance,7,0,6,0,0
5,stl#Admin:Attendance page-->Admin:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:attendance,Export attendance,4,0,3,0,0
6,stl#Admin:Data export success message-->Admin:Data export success message,Export attendance,2,0,1,0,0
7,stl#Admin:Select attendance button-->Admin:Select attendance button-->Select attendance button:Display attendance page-->Display attendance page:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:Data export success message,Export attendance,9,0,8,0,0
8,stl#Admin:Select attendance button-->Admin:Select attendance button-->Select attendance button:Display attendance page-->Display attendance page:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:csv files,Export attendance,9,0,8,0,0
9,stl#Admin:Select attendance button-->Admin:Select attendance button-->Select attendance button:Display attendance page-->Display attendance page:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:attendance,Export attendance,6,0,5,0,0
10,stl#Admin:Select attendance button-->Admin:Select attendance button-->Select attendance button:Display attendance page-->Display attendance page:attendance,Export attendance,4,0,3,0,0
11,stl#Staff:Data export success message-->Staff:Data export success message,Export attendance,2,0,1,0,0
12,stl#Staff:Types of attendance-->Staff:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:Data export success message,Export attendance,5,0,4,0,0
13,stl#Staff:Types of attendance-->Staff:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:csv files,Export attendance,5,0,4,0,0
14,stl#Staff:Attendance page-->Staff:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:Data export success message,Export attendance,7,0,6,0,0
15,stl#Staff:Attendance page-->Staff:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:Types of attendance-->Types of attendance:export data to csv file-->export data to csv file:Select file location to save-->Select file location to save:csv files,Export attendance,7,0,6,0,0
16,stl#Staff:Attendance page-->Staff:Attendance page-->Attendance page:display type of attendance for export-->display type of attendance for export:attendance,Export attendance,4,0,3,0,0
