id,element,useCase,type,component
1,Volunteer coach:Login page,Record attendance,control,LoginInfo
2,Volunteer coach:Enter attendance detail page,Record attendance,control,Typesofattendance
3,Volunteer coach:Invalid input attendance information,Record attendance,control,Typesofattendance
4,Volunteer coach:Duplicate attendance information,Record attendance,control,Typesofattendance
5,save attendance detail:Attendance Detail,Record attendance,control,Typesofattendance
6,save attendance detail:Duplicate attendance information,Record attendance,control,Typesofattendance
7,Enter attendance detail page:validate input attendance info,Record attendance,control,Typesofattendance
8,validate login information:Enter attendance detail page,Record attendance,control,Typesofattendance
9,validate input attendance info:Invalid input attendance information,Record attendance,control,Typesofattendance
10,validate login information:Login,Record attendance,control,LoginInfo
11,Login page:validate login information,Record attendance,control,LoginInfo
12,validate input attendance info:save attendance detail,Record attendance,control,Typesofattendance
13,stl#Volunteer coach:Login page,Record attendance,Stimulus,undefined
14,stl#Volunteer coach:Enter attendance detail page,Record attendance,Stimulus,undefined
15,stl#Volunteer coach:Invalid input attendance information,Record attendance,Stimulus,undefined
16,stl#Volunteer coach:Duplicate attendance information,Record attendance,Stimulus,undefined
