id,element,useCase,type,component
1,User:Inputs desired information and selects the update option.,Edit Meeting,control,attemptstoverifytheinputs
2,User:Selects the edit meeting option.,Edit Meeting,entity,meetingdb
3,User:Hompage,Edit Meeting,boundary,Hompage
4,invalid information is displayed to the user:Hompage,Edit Meeting,boundary,Hompage
5,Inputs desired information and selects the update option.:attempts to verify the inputs,Edit Meeting,control,attemptstoverifytheinputs
6,Selects the edit meeting option.:displays the edit meeting screen.,Edit Meeting,entity,meetingdb
7,attempts to verify the inputs:invalid information is displayed to the user,Edit Meeting,control,attemptstoverifytheinputs
8,displays the edit meeting screen.:attempts to verify the inputs,Edit Meeting,control,attemptstoverifytheinputs
9,invalid information is displayed to the user:meeting db,Edit Meeting,entity,meetingdb
10,stl#User:Inputs desired information and selects the update option.,Edit Meeting,Stimulus,undefined
11,stl#User:Selects the edit meeting option.,Edit Meeting,Stimulus,undefined
12,stl#User:Hompage,Edit Meeting,Stimulus,undefined
