id,element,useCase,type,component
1,undefined,Use Case1,boundary,Object1
2,stl#undefined,Use Case1,Stimulus,undefined
3,User:Selects the approve signup option ,Approve Sign up,control,displaystheapprovesignupscreen
4,User:Selects a signup request.,Approve Sign up,control,displaystheapprovesignupscreen
5,User:Chooses to approve signup request.,Approve Sign up,control,displaystheapprovesignupscreen
6,User:Hompage,Approve Sign up,boundary,Hompage
7,Chooses to approve signup request.:The requesting user can now log into the application.,Approve Sign up,control,displaystheapprovesignupscreen
8,The requesting user can now log into the application.:Hompage,Approve Sign up,boundary,Hompage
9,Selects a signup request.:displays request details such as user info and account type,Approve Sign up,control,displaystheapprovesignupscreen
10,Selects the approve signup option :displays the approve signup screen.,Approve Sign up,control,displaystheapprovesignupscreen
11,displays request details such as user info and account type:The requesting user can now log into the application.,Approve Sign up,control,displaystheapprovesignupscreen
12,displays the approve signup screen.:displays request details such as user info and account type,Approve Sign up,control,displaystheapprovesignupscreen
13,stl#User:Selects the approve signup option ,Approve Sign up,Stimulus,undefined
14,stl#User:Selects a signup request.,Approve Sign up,Stimulus,undefined
15,stl#User:Chooses to approve signup request.,Approve Sign up,Stimulus,undefined
16,stl#User:Hompage,Approve Sign up,Stimulus,undefined
17,User:Selects the view submitted comments option,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
18,User:Selects a comment to view.,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
19,User:Hompage,Approve/Reject Comment,boundary,Hompage
20,User:Presses the accept comment button.,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
21,Comment is accepted:Hompage,Approve/Reject Comment,boundary,Hompage
22,Comment is displayed along with the assignee that submitted it:Comment is accepted,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
23,Presses the accept comment button.:Comment is accepted,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
24,displays the view submitted comments screen:Comment is displayed along with the assignee that submitted it,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
25,Selects a comment to view.:Comment is displayed along with the assignee that submitted it,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
26,Selects the view submitted comments option:displays the view submitted comments screen,Approve/Reject Comment,control,Selectstheviewsubmittedcommentsoption
27,stl#User:Selects the view submitted comments option,Approve/Reject Comment,Stimulus,undefined
28,stl#User:Selects a comment to view.,Approve/Reject Comment,Stimulus,undefined
29,stl#User:Hompage,Approve/Reject Comment,Stimulus,undefined
30,stl#User:Presses the accept comment button.,Approve/Reject Comment,Stimulus,undefined
31,User:Chooses project,Change Project,boundary,Object1
32,User:Selects settings button from the Android toolbar,Change Project,control,Selectstheviewsubmittedcommentsoption
33,User:Selects change project option.,Change Project,control,Selectstheviewsubmittedcommentsoption
34,User:Hompage,Change Project,boundary,Hompage
35,Chooses project:invalid information is displayed to the user,Change Project,control,Selectstheviewsubmittedcommentsoption
36,Dropdown settings menu is displayed.:displays the select a project screen.,Change Project,control,Selectstheviewsubmittedcommentsoption
37,Selects settings button from the Android toolbar:Dropdown settings menu is displayed.,Change Project,control,Selectstheviewsubmittedcommentsoption
38,invalid information is displayed to the user:Hompage,Change Project,boundary,Hompage
39,Selects change project option.:displays the select a project screen.,Change Project,control,Selectstheviewsubmittedcommentsoption
40,displays the select a project screen.:invalid information is displayed to the user,Change Project,control,Selectstheviewsubmittedcommentsoption
41,invalid information is displayed to the user:project db,Change Project,boundary,Object1
42,stl#User:Chooses project,Change Project,Stimulus,undefined
43,stl#User:Selects settings button from the Android toolbar,Change Project,Stimulus,undefined
44,stl#User:Selects change project option.,Change Project,Stimulus,undefined
45,stl#User:Hompage,Change Project,Stimulus,undefined
46,User:Hompage,Create New Meeting,boundary,Hompage
47,User:Enters meeting information and attendee list,Create New Meeting,control,displaysthecreateameetingscreen
48,User:Selects the create a meeting option ,Create New Meeting,control,displaysthecreateameetingscreen
49,Creates a meeting with the entered information:Hompage,Create New Meeting,boundary,Hompage
50,Creates a meeting with the entered information:meeting db,Create New Meeting,control,displaysthecreateameetingscreen
51,Verifies attendee list contains valid users.  :Creates a meeting with the entered information,Create New Meeting,control,displaysthecreateameetingscreen
