NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Use Case1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Use Case2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Approve Sign up,4,14,0,2,1,1,0,0,0,4,0,4,0,4,0,4,4.25,7.153846153846154,3.25,1,30.403846153846157,0,15,4,4,1,4,3.33,0.67,0,0,4.0592,16.6712,9.2067
4,Approve/Reject Comment,4,14,0,2,1,1,0,0,0,4,0,4,0,4,0,4,4.25,7.153846153846154,3.25,0.75,30.403846153846157,0,15,4,4,1,4,3.33,0.67,0,0,4.0592,16.6712,9.2067
5,Change Project,7,15,0,3,2,1,0,0,0,5,0,5,0,5,2,5,6.4,6.2,5,1.2,39.68000000000001,0,20,12,7,3,7,5.65,3.3500000000000005,0,0,7.1036,28.5966,15.650599999999999
6,Create New Meeting,5,12,0,2,1,1,0,0,0,3,0,5,0,3,0,5,4.8,7.052631578947368,3.8,0.8,33.85263157894737,0,10,12,5,3,5,2.33,0.67,0,0,5.074,24.198400000000003,13.222
7,Create New Project,5,12,0,4,2,2,0,0,0,5,0,5,0,5,0,5,4.8,3.473684210526316,3.8,1.2,16.673684210526314,0,20,4,5,1,5,4.33,0.67,0,0,5.074,11.1186,6.821999999999999
8,Edit Meeting,5,12,0,3,1,1,1,1,0,2,1,3,0,3,2,3,8,3.8947368421052633,6.333333333333333,1.3333333333333333,31.157894736842106,8,10,4,5,3,3,2.33,0.67,2,4,5.074,11.1186,8.418
9,Edit Profile,3,11,0,3,1,2,0,0,0,3,0,3,0,3,0,3,4.333333333333333,3.5,3.3333333333333335,0.6666666666666666,15.166666666666666,0,10,4,3,1,3,2.33,0.67,0,0,3.0443999999999996,6.096299999999999,4.3934
10,Edit Project,5,12,0,4,2,2,0,0,0,5,0,5,0,5,0,5,4.8,3.473684210526316,3.8,0.8,16.673684210526314,0,20,4,5,1,5,4.33,0.67,0,0,5.074,11.118599999999999,6.821999999999999
11,Generate Logs,7,15,0,4,2,1,1,0,0,1,0,1,0,1,6,1,31,4.541666666666667,24,6,140.79166666666669,8,0,20,7,7,5,3.6300000000000003,12.37,0.67,2.33,7.1036,16.3518,11.6446
12,Login,3,8,0,2,1,1,0,0,0,1,0,1,0,1,2,1,13,4.1,10,0,53.3,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,7.0329999999999995,5.238900000000001
13,Publish Meeting,3,11,0,4,2,2,0,0,0,1,0,1,0,1,2,1,13,2.3,10,4,29.9,0,0,12,3,3,3,1.98,4.0200000000000005,0,0,3.0443999999999996,4.2604,3.5953999999999997
14,Send Notification,3,11,0,4,2,2,0,0,0,2,0,2,0,2,1,2,6.5,2.3,5,2,14.95,0,5,8,3,2,3,2.3200000000000003,2.68,0,0,3.0443999999999996,4.2604,3.5953999999999997
15,Sign up,4,15,0,4,3,1,0,0,0,0,0,0,0,0,4,0,0,5.285714285714286,0,0,0,12,0,4,4,4,1,0.33,5.67,0,0,4.0592,10.044599999999999,7.4547
16,Submit Comment to Meeting Minutes,3,11,0,4,2,2,0,0,0,1,0,1,0,1,2,1,13,2.7,10,4,35.1,0,0,12,3,3,3,2.31,4.69,0,0,3.0443999999999996,4.2604,3.5953999999999997
17,View Assigned Task,3,10,0,2,2,0,0,0,0,1,0,1,0,1,2,1,11,4.25,8,2,46.75,0,0,12,3,3,3,2.64,5.36,0,0,3.0443999999999996,4.2604,4.3934
18,View Meeting,3,10,0,3,3,0,0,0,0,1,0,1,0,1,2,1,11,2.75,8,4,30.25,0,0,12,3,3,3,2.64,5.36,0,0,3.0443999999999996,3.3236999999999997,3.5479000000000003
19,View Pending Tasks,5,12,0,3,2,1,0,0,0,3,0,3,0,3,2,3,7.333333333333333,4.823529411764706,5.666666666666667,1.3333333333333333,35.37254901960784,0,10,12,5,3,5,3.65,3.3500000000000005,0,0,5.074,12.4321,8.418000000000001
20,View Status of Submitted comment,3,10,0,4,3,1,0,0,0,1,0,1,0,1,2,1,11,2.5,8,3,27.5,0,0,12,3,3,3,1.6500000000000001,3.35,0,0,3.0443999999999996,3.3236999999999997,3.5479000000000003
