id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,User,undefined,undefined,undefined,undefined,undefined,undefined
2,Hashtagicon,undefined,undefined,undefined,undefined,undefined,undefined
3,SearchResult,undefined,undefined,undefined,undefined,undefined,undefined
4,Warninginformationofduplicate,undefined,undefined,undefined,undefined,undefined,undefined
5,DeleteEventButton,undefined,undefined,undefined,undefined,undefined,undefined
6,AppMainPage,undefined,undefined,undefined,undefined,undefined,undefined
7,Optionstopost,undefined,undefined,undefined,undefined,undefined,undefined
8,Picture,undefined,undefined,undefined,undefined,undefined,undefined
9,downloadtophone,undefined,undefined,undefined,undefined,undefined,undefined
10,ConfirmDialog,undefined,undefined,undefined,undefined,undefined,undefined
