id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,Admin:List of tables with drop button-->List of tables with drop button:drop tabl-->drop tabl:Empty complete message,Clear submitted answer,3,3,0,0,0
2,Admin:Empty complete message,Clear submitted answer,1,1,0,0,0
3,Admin:Database button-->Database button:show database info-->show database info:List of tables with drop button-->List of tables with drop button:drop tabl-->drop tabl:Empty complete message,Clear submitted answer,5,5,0,0,0
4,User:Update error message,Edit Page on Website,1,1,0,0,0
5,User:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Page,Edit Page on Website,3,0,3,0,0
6,User:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update error message,Edit Page on Website,3,1,2,0,0
7,User:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update message,Edit Page on Website,3,1,2,0,0
8,User:Page Selector-->Page Selector:Load page to edit-->Load page to edit:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Page,Edit Page on Website,5,0,5,0,0
9,User:Page Selector-->Page Selector:Load page to edit-->Load page to edit:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update error message,Edit Page on Website,5,1,4,0,0
10,User:Page Selector-->Page Selector:Load page to edit-->Load page to edit:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update message,Edit Page on Website,5,1,4,0,0
11,User:Update message,Edit Page on Website,1,1,0,0,0
12,User:Error Message,Login,1,1,0,0,0
13,User:user interface,Login,1,1,0,0,0
14,User:admin interface,Login,1,1,0,0,0
15,User:username and password interface-->username and password interface:check login information-->check login information:Error Message,Login,3,2,1,0,0
16,User:username and password interface-->username and password interface:check login information-->check login information:User Info,Login,3,2,1,0,0
17,User:username and password interface-->username and password interface:check login information-->check login information:admin interface,Login,3,2,1,0,0
18,User:username and password interface-->username and password interface:check login information-->check login information:user interface,Login,3,2,1,0,0
19,User:Logout Button-->Logout Button:clear local cache-->clear local cache:Cookie,Logout,3,1,1,1,0
20,User:Logout Button-->Logout Button:clear local cache-->clear local cache:front page,Logout,3,2,1,0,0
21,User:front page,Logout,1,1,0,0,0
22,User:Scenario display,Provide Information,1,0,1,0,0
23,User:Civilian or veteran radio button-->Civilian or veteran radio button:load first scenario-->load first scenario:Scenario,Provide Information,3,1,2,0,0
24,User:Civilian or veteran radio button-->Civilian or veteran radio button:load first scenario-->load first scenario:display scenario-->display scenario:Scenario display,Provide Information,4,1,3,0,0
25,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Check cookie expiration-->Check cookie expiration:Cookie Expiration Error,Take Scenario Quiz,4,0,4,0,0
26,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Check cookie expiration-->Check cookie expiration:Cookie,Take Scenario Quiz,4,0,4,0,0
27,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Load next senario-->Load next senario:Scenario Page-->Scenario Page:Store the answer for the scenario,Take Scenario Quiz,5,0,5,0,0
28,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Load next senario-->Load next senario:Scenario,Take Scenario Quiz,4,0,4,0,0
29,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Scenario,Take Scenario Quiz,3,0,3,0,0
30,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Thank you page,Take Scenario Quiz,3,1,2,0,0
31,User:Cookie Expiration Error,Take Scenario Quiz,1,0,1,0,0
32,User:Thank you page,Take Scenario Quiz,1,1,0,0,0
33,User:Scenario Page-->Scenario Page:store answers as cookie-->store answers as cookie:Cookie,Take Team Scenario Quiz,3,1,2,0,0
34,User:Scenario Page-->Scenario Page:store answers as cookie-->store answers as cookie:calculate response statistics-->calculate response statistics:answer statistics page-->answer statistics page:Load communication technique-->Load communication technique:Scenario Page-->Scenario Page:store answers as cookie,Take Team Scenario Quiz,7,2,5,0,0
35,User:Scenario Page-->Scenario Page:store answers as cookie-->store answers as cookie:calculate response statistics-->calculate response statistics:answer statistics page-->answer statistics page:Load communication technique-->Load communication technique:communication,Take Team Scenario Quiz,6,1,5,0,0
