"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d"
"87","SWTIII","UCP","mae","+","21929.13","30678.75","0.01","0.28","1","-1.17"
"4","SWTIII","IFPUG","mmre","+","    0.88","    1.55","0.02","0.28","1","-1.41"
"10","SWTII","IFPUG","mmre","+","    0.89","    1.55","0.02","0.28","1","-1.42"
"15","SWTI","IFPUG","mmre","+","    0.88","    1.55","0.02","0.28","1","-1.45"
"88","SWTIII","IFPUG","mae","+","21929.13","23507.46","0.02","0.28","1","-0.24"
"93","SWTII","UCP","mae","+","23555.29","30678.75","0.02","0.28","1","-1.00"
"94","IFPUG","SWTII","mae","+","23507.46","23555.29","0.02","0.28","1","-0.01"
"3","SWTIII","UCP","mmre","+","    0.88","    2.59","0.03","0.28","1","-2.06"
"9","SWTII","UCP","mmre","+","    0.89","    2.59","0.03","0.28","1","-2.06"
"60","SWTIII","IFPUG","mdmre","+","    0.68","    1.09","0.03","0.28","1","-1.16"
"5","SWTIII","COSMIC","mmre","+","    0.88","    1.44","0.04","0.28","1","-1.20"
"11","SWTII","COSMIC","mmre","+","    0.89","    1.44","0.04","0.28","1","-1.20"
"14","SWTI","UCP","mmre","+","    0.88","    2.59","0.04","0.28","1","-2.08"
"49","SLOC","UCP","pred25","+","    0.08","    0.02","0.04","0.28","1","1.06"
"58","SWTIII","SWTI","mdmre","+","    0.68","    0.79","0.04","0.28","1","-0.89"
"71","SWTI","IFPUG","mdmre","+","    0.79","    1.09","0.04","0.28","1","-0.85"
