"","Model1","Model2","Metric","Mean1","Mean2","84% CI1","84% CI2"
"1","tm2","ucp","mmre",0.861,6.923,"[0.648, 1.074]","[4.674, 9.172]"
"2","tm2","fp","mmre",0.861,5.621,"[0.648, 1.074]","[3.615, 7.626]"
"3","tm2","cosmic","mmre",0.861,5.359,"[0.648, 1.074]","[3.468, 7.25]"
"4","tm3","ucp","mmre",0.813,6.923,"[0.645, 0.981]","[4.674, 9.172]"
"5","tm3","fp","mmre",0.813,5.621,"[0.645, 0.981]","[3.615, 7.626]"
"6","tm3","cosmic","mmre",0.813,5.359,"[0.645, 0.981]","[3.468, 7.25]"
"7","tm3","sloc","mmre",0.813,1.364,"[0.645, 0.981]","[1.001, 1.727]"
"8","tm1","ucp","mmre",0.863,6.923,"[0.713, 1.013]","[4.674, 9.172]"
"9","tm1","fp","mmre",0.863,5.621,"[0.713, 1.013]","[3.615, 7.626]"
"10","tm1","cosmic","mmre",0.863,5.359,"[0.713, 1.013]","[3.468, 7.25]"
"19","tm3","ucp","pred25",0.129,0.055,"[0.088, 0.17]","[0.024, 0.086]"
"31","tm2","ucp","mdmre",0.652,2.655,"[0.569, 0.735]","[1.506, 3.804]"
"32","tm2","fp","mdmre",0.652,2.656,"[0.569, 0.735]","[1.324, 3.989]"
"33","tm2","cosmic","mdmre",0.652,2.535,"[0.569, 0.735]","[1.331, 3.738]"
"34","tm3","ucp","mdmre",0.681,2.655,"[0.604, 0.758]","[1.506, 3.804]"
"35","tm3","fp","mdmre",0.681,2.656,"[0.604, 0.758]","[1.324, 3.989]"
"36","tm3","cosmic","mdmre",0.681,2.535,"[0.604, 0.758]","[1.331, 3.738]"
"37","tm1","ucp","mdmre",0.672,2.655,"[0.578, 0.766]","[1.506, 3.804]"
"38","tm1","fp","mdmre",0.672,2.656,"[0.578, 0.766]","[1.324, 3.989]"
"39","tm1","cosmic","mdmre",0.672,2.535,"[0.578, 0.766]","[1.331, 3.738]"
