Proj,Trans,Stm,Comp,TL,TL_SE,TD,TD_SE,DETs,DETs_SE,l1,l2,l3,l4,l5,l6,l7,SWT,UUCP,AFP,ProjEff
1,7,7,7,3.57,2.07,5.59,7.20E-01,2,0.58,2,0,0,1,2,2,0,1.10E-02,16,76,c(42
2,20,20,7,65.15,109.57,318.61,6.30E+01,79.85,131.76,0,1,0,5,0,0,0,2.40E+00,16,150,c(42
3,20,20,7,37.2,67.94,163.57,3.70E+01,26.3,45.14,0,1,4,0,0,1,3,1.60E+00,16,147,c(42
4,40,40,7,15.4,19.7,138.15,6.10E+01,23.52,30.99,2,0,21,0,1,0,3,2.10E+00,16,225,c(42
5,65,65,7,103.95,266.31,1559.54,1.20E+02,42.09,101.36,0,0,0,0,19,0,0,6.40E+00,16,325,c(42
6,187,187,10,627.13,1030.09,10863.51,1.40E+04,677.99,1113.14,0,0,0,0,70,0,0,7.50E+01,16,869,c(42
7,77,77,8,40.92,142.33,527.51,1.90E+02,39.27,135.89,0,0,11,33,0,0,4,4.00E+00,16,359,c(42
8,281,281,7,180.02,502.87,11532.43,2.30E+03,125,353.97,0,0,0,0,10,124,0,1.20E+02,16,1244,c(42
9,8,8,17,212.75,279.95,130.48,9.40E+01,254.38,338.76,2,1,0,0,0,0,0,1.30E+00,16,161,c(42
10,72,72,8,4.9,7.17,23.92,9.10E+00,4.67,7.41,34,13,0,2,2,0,0,8.70E-01,16,332,c(42
11,0,0,0,    NaN,     NA,     NaN,     NA,    NaN,     NA,0,0,0,0,0,0,0,0.00E+00,6,0,c(42
12,1,1,8,2,     NA,0.5,     NA,2,     NA,1,0,0,0,0,0,0,2.60E-04,6,62,c(42
13,0,0,7,    NaN,     NA,     NaN,     NA,    NaN,     NA,0,0,0,0,0,0,0,0.00E+00,6,55,c(42
14,10,10,11,4,4,10.53,8.80E-01,2.4,2.22,7,0,0,0,0,0,0,5.90E-02,16,120,c(42
15,4,4,6,4.25,2.87,3.2,1.90E+00,4,2.83,2,0,0,0,0,0,0,5.10E-02,11,66,c(42
16,3,3,8,136.67,233.25,84.01,3.50E+00,147.33,251.72,0,0,2,0,0,0,0,2.60E-01,6,71,c(42
17,15,15,7,35.87,69.38,134.06,1.80E+01,45.87,88.36,0,0,6,0,0,2,1,9.30E-01,16,118,c(42
18,1,1,7,2,     NA,0.5,     NA,2,     NA,1,0,0,0,0,0,0,2.60E-04,6,55,c(42
19,0,0,7,    NaN,     NA,     NaN,     NA,    NaN,     NA,0,0,0,0,0,0,0,0.00E+00,6,67,c(42
20,1,1,9,262,     NA,59,     NA,213,     NA,0,0,0,0,0,0,0,1.60E-01,6,72,c(42
21,0,0,0,    NaN,     NA,     NaN,     NA,    NaN,     NA,0,0,0,0,0,0,0,0.00E+00,6,0,c(42
22,21,21,8,2.9,2.05,14.72,6.80E-01,3.14,4.34,15,0,0,0,1,0,0,6.60E-02,16,129,c(42
23,73,73,7,5.47,14.2,57.72,2.70E+01,5.05,11.4,15,0,32,1,8,5,1,8.40E-01,16,313,c(42
24,1,1,7,2,     NA,0.5,     NA,3,     NA,0,0,0,1,0,0,0,1.30E-03,6,56,c(42
25,5,5,9,40.4,52.59,43.73,2.40E+00,34,43.4,0,2,0,0,1,0,0,1.80E-01,11,91,c(42
26,6,6,9,28.17,30.81,24.36,6.40E+00,33.5,35.91,0,1,0,1,0,0,0,1.90E-01,16,101,c(42
27,1,1,18,2,     NA,0.5,     NA,2,     NA,1,0,0,0,0,0,0,2.60E-04,6,135,c(42
28,0,0,0,    NaN,     NA,     NaN,     NA,    NaN,     NA,0,0,0,0,0,0,0,0.00E+00,6,0,c(42
