"","swtiii_l1","SWTIII","swtii_l1","swtii_l2","swtii_l3","swtii_l4","swtii_l5","SWTII","swti_l1","SWTI","UUCP","AFP","COSMIC","SLOC","LOG_SLOC","Effort","Trans","Stm","Comp","TL","TL_SE","TD","TD_SE","DETs","DETs_SE"
"2048_S1W1L1_2019-4-28@1559050698438",7,6.96,3,0,4,0,0,22.7,7,6.9,25,110,12,864.06,6.76,2560,7,7,7,3.57,2.07,5.59,0.72,2,0.58
"AFHDownloader_S1W1L1_2019-6-12@1562926542058",5,4.97,4,0,1,0,0,10.54,5,4.93,15,71,6,462.43,6.14,1120,5,5,11,2.4,0.89,1.15,0.49,3.8,1.3
"AnExplorer_S1W1L1_2019-4-29@1559144669093",20,19.88,0,2,7,0,11,64.12,20,19.71,50,77,253,1691.46,7.43,3167,20,20,7,37.2,67.94,163.57,37.24,26.3,45.14
"AnotherMonitor_S1W1L1_2019-4-28@1559050904766",40,39.76,3,0,24,0,13,147.96,40,39.43,50,115,318,921.89,6.83,13203,40,40,7,15.4,19.7,138.15,61.25,23.52,30.99
"AntennaPod_S1W1L1_2019-4-29@1559165229414",65,64.62,0,0,43,0,22,253.65,65,64.07,65,151,292.76,2989.99,8,13253,65,65,7,103.95,266.31,1559.54,118.07,42.09,101.36
"CallRecorder_S1W1L1_2019-6-12@1562926518816",5,4.97,2,0,3,0,0,16.65,5,4.93,65,113,22,1539.13,7.34,2520,5,5,7,6,7.84,7.14,1.92,6,7.84
"clipstack_S1W1L1_2019-4-28@1559050933965",72,71.57,36,15,4,17,0,308.89,72,70.97,60,171,155,1294.29,7.17,34711,72,72,9,4.9,7.17,23.92,9.08,4.67,7.41
"EasySoundRecorder_S1W1L1_2019-4-29@1559141326432",1,0.99,1,0,0,0,0,1.5,1,0.99,25,86,13,455.2,6.12,713,12,12,7,2,NA,0.5,NA,2,NA
"F-Droid_S1W1L1_2019-6-12@1562926491807",0,0,0,0,0,0,0,0,0,0,45,76,0,1354.75,7.21,2410,0,0,0,NA,NA,NA,NA,NA,NA
"Firefox_Klar_S1W1L1_2019-5-15@1560625157760",5,4.97,5,0,0,0,0,7.49,5,4.93,70,107,5,1410.26,7.25,2627,5,5,8,2,0,2.5,0,4.4,0.89
"kindle_s1w1l1_2019-4-29@1559196356153",21,20.88,15,0,6,0,0,49.78,21,20.7,55,125,97,873.26,6.77,4266,48,48,8,2.9,2.05,14.72,0.68,3.14,4.34
"KISS_s1w1l1_2019-4-29@1559196366893",73,72.57,24,38,0,11,0,235.86,73,71.95,50,125,246,1642.3,7.4,19568,73,73,7,5.47,14.2,57.72,27.3,5.05,11.4
"leafpic_S1W1L1_2019-4-28@1559051230049",1,0.99,1,0,0,0,0,1.5,1,0.99,70,132,168.3,1996.16,7.6,4779,1,1,8,2,NA,0.5,NA,3,NA
"manglish_S1W1L1_2019-6-12@1562926484676",1,0.99,1,0,0,0,0,1.5,1,0.99,75,62,35.28,1340.78,7.2,1200,1,1,4,2,NA,0.5,NA,2,NA
"materialistic_S1W1L1_2019-4-28@1559051254190",6,5.96,1,1,0,4,0,53.03,6,5.91,75,126,61,1499.32,7.31,2335,6,6,10,28.17,30.81,24.36,6.38,33.5,35.91
"Mindorks_S1W1L1_2019-4-28@1559050892966",1,0.99,1,0,0,0,0,1.5,1,0.99,55,113,40.92,1531.77,7.33,12559,1,1,18,2,NA,0.5,NA,2,NA
"Minimal-ToDo_S1W1L1_2019-4-29@1559165220745",0,0,0,0,0,0,0,0,0,0,30,56,33,470.17,6.15,560,0,0,0,NA,NA,NA,NA,NA,NA
"MLManager_S1W1L1_2019-4-28@1559051298340",16,15.91,1,0,12,3,0,93.53,16,15.77,65,101,36,1178.47,7.07,2457,16,16,10,7.38,6.71,17.54,5.53,8.81,8.98
"MovieGuide_S1W1L1_2019-4-29@1559165212417",8,7.95,4,0,4,0,0,24.2,8,7.89,10,90,15,658.26,6.49,1069,8,8,13,5.88,8.31,6.88,1.35,5.25,8.41
"muzei_S1W1L1_2019-4-28@1559051308379",0,0,0,0,0,0,0,0,0,0,65,110,77.14,1192.07,7.08,13337,0,0,4,NA,NA,NA,NA,NA,NA
"NewPipe_S1W1L1_2019-4-28@1559051314726",16,15.91,0,14,0,2,0,48.05,16,15.77,60,160,240,1457.74,7.28,12770,16,16,7,10.62,23.57,41.56,4.26,9.81,20.78
"NewPipe_S1W1L1_2019-5-15@1560625183900",16,15.91,0,11,0,5,0,80.51,16,15.77,60,146,240,1501.57,7.31,9234,16,16,7,6.5,9.91,25.55,1.73,7.19,11.33
"OmniNotes_S1W1L1_2019-4-28@1559051391827",0,0,0,0,0,0,0,0,0,0,85,134,334.32,1264.15,7.14,4520,0,0,0,NA,NA,NA,NA,NA,NA
"opencamera_S1W1L1_2019-5-15@1560625238642",53,52.69,0,0,34,0,19,204.78,53,52.24,80,118,144.8,1527.03,7.33,24212,53,53,8,192.32,411.33,1504.31,608.58,152.51,328.58
"prey_S1W1L1_2019-4-28@1559052797326",28,27.83,0,0,15,0,13,102.5,28,27.6,20,90,290,1564.04,7.36,2440,28,28,8,52.89,172.48,335.28,50.47,56.96,188.26
"reddit_S1W1L1_2019-4-28@1559052892979",150,149.11,74,55,0,4,17,296.27,150,147.85,85,122,350,1530.89,7.33,12686,150,150,8,4.45,8.4,52.25,36.98,4.39,7.45
"selfnet-wificonfig-master_S1W1L1_2019-6-12@1562926399486",3,2.98,3,0,0,0,0,4.49,3,2.96,10,101,319.24,758.85,6.63,3218,3,3,2,2,0,1.5,0,2,0
"superCleanMaster_S1W1L1_2019-4-29@1559141333216",10,9.94,10,0,0,0,0,14.98,10,9.86,40,92,118,1289.74,7.16,3123,63,63,8,2,0,5,0,1,0
"swiftnotes_S1W1L1_2019-4-29@1559141346453",6,5.96,5,0,1,0,0,12.04,6,5.91,50,76,31,483.11,6.18,610,6,6,6,3.33,3.27,3.5,1.48,3.17,1.94
"telecine_S1W1L1_2019-4-29@1559141351965",11,10.93,6,0,3,1,1,37.75,11,10.84,30,143,46,736.76,6.6,11783,11,11,15,42,88.2,23.46,34.12,42.18,88.12
"Timber_S1W1L1_2019-4-29@1559141370065",1,0.99,1,0,0,0,0,1.5,1,0.99,40,127,123.32,1546.45,7.34,2597,1,1,8,2,NA,0.5,NA,2,NA
"turbo-editor_s1w1l1_2019-4-29@1559196395708",5,4.97,5,0,0,0,0,7.49,5,4.93,50,71,26.72,406.45,6.01,305,5,5,2,2,0,2.5,0,2,0.71
"wally_S1W1L1_2019-4-29@1559143564066",11,10.93,3,2,0,6,0,82.62,11,10.84,60,84,111,1157.33,7.05,1423,35,35,7,16.91,26.23,27.8,12.12,15.64,25.14
