"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"73","cosmic","tm3","pred25","-",0.08,0.13,0,0,0.02,-0.52,"cosmic-tm3-pred25"
"77","sloc","tm3","pred25","-",0.09,0.13,0,0,0.02,-0.41,"sloc-tm3-pred25"
"118","ucp","tm3","mdmre","+",2.65,0.68,0,0,0.07,1.01,"ucp-tm3-mdmre"
"129","cosmic","tm3","mdmre","+",2.53,0.68,0,0,0.12,0.9,"cosmic-tm3-mdmre"
"124","fp","tm3","mdmre","+",2.66,0.68,0,0.01,0.17,0.87,"fp-tm3-mdmre"
"133","sloc","tm3","mdmre","+",0.88,0.68,0,0.01,0.4,0.5,"sloc-tm3-mdmre"
"21","sloc","tm3","mmre","+",1.36,0.81,0,0.01,0.5,0.81,"sloc-tm3-mmre"
"136","ln_sloc","tm3","mdmre","-",0.54,0.68,0,0.01,0.74,-0.75,"ln_sloc-tm3-mdmre"
"28","tm3","tm1","mmre","-",0.81,0.86,0,0.01,0.81,-0.13,"tm3-tm1-mmre"
"80","ln_sloc","tm3","pred25","-",0.11,0.13,0.01,0.01,0.94,-0.17,"ln_sloc-tm3-pred25"
"12","fp","tm3","mmre","+",5.62,0.81,0.01,0.01,1,1.4,"fp-tm3-mmre"
"17","cosmic","tm3","mmre","+",5.36,0.81,0.01,0.01,1,1.41,"cosmic-tm3-mmre"
"24","ln_sloc","tm3","mmre","-",0.67,0.81,0.01,0.01,1,-0.44,"ln_sloc-tm3-mmre"
"26","tm2","tm3","mmre","+",0.86,0.81,0.01,0.01,1,0.11,"tm2-tm3-mmre"
"62","ucp","tm3","pred25","-",0.06,0.13,0.01,0.01,1,-0.84,"ucp-tm3-pred25"
"68","fp","tm3","pred25","-",0.07,0.13,0.01,0.01,1,-0.6,"fp-tm3-pred25"
"82","tm2","tm3","pred25","+",0.13,0.13,0.01,0.01,1,0.04,"tm2-tm3-pred25"
"84","tm3","tm1","pred25","+",0.13,0.12,0.01,0.01,1,0.04,"tm3-tm1-pred25"
"138","tm2","tm3","mdmre","-",0.65,0.68,0.01,0.01,1,-0.15,"tm2-tm3-mdmre"
"140","tm3","tm1","mdmre","+",0.68,0.67,0.01,0.01,1,0.04,"tm3-tm1-mdmre"
