id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#com.rufuslabs.alltheapps.ss_onReceive->com.rufuslabs.alltheapps.ss_onReceive,src,2,0,0,0,0
2,stl#com.rufuslabs.alltheapps.ss_onCreate->com.rufuslabs.alltheapps.ss_onCreate,src,2,0,0,0,0
3,stl#com.rufuslabs.alltheapps.ss_onCreateOptionsMenu->com.rufuslabs.alltheapps.ss_onCreateOptionsMenu,src,2,0,0,0,0
4,stl#com.rufuslabs.alltheapps.ss_onPause->com.rufuslabs.alltheapps.ss_onPause->com.rufuslabs.alltheapps.managers.ss_store,src,3,0,0,0,0
5,stl#com.rufuslabs.alltheapps.ss_onResume->com.rufuslabs.alltheapps.ss_onResume->com.rufuslabs.alltheapps.views.ss_reloadPages->com.rufuslabs.alltheapps.managers.ss_getCurrentlyDisplayed,src,4,0,0,0,0
6,stl#com.rufuslabs.alltheapps.ss_onStart->com.rufuslabs.alltheapps.ss_onStart->com.rufuslabs.alltheapps.views.ss_reloadPages->com.rufuslabs.alltheapps.managers.ss_getCurrentlyDisplayed,src,4,0,0,0,0
7,stl#com.rufuslabs.alltheapps.ss_onStop->com.rufuslabs.alltheapps.ss_onStop,src,2,0,0,0,0
8,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_getJSONObject,src,5,0,0,0,0
9,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts,src,8,0,0,0,0
10,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>,src,8,0,0,0,0
11,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_getString,src,7,0,0,0,0
12,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>,src,5,0,0,0,0
13,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>,src,6,0,0,0,0
14,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>,src,5,0,0,0,0
15,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfo,src,6,0,0,0,0
16,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_getJSONObject,src,11,0,0,0,0
17,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts,src,12,0,0,0,0
18,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>,src,11,0,0,0,0
19,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_add,src,11,0,0,0,0
20,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_add->com.rufuslabs.alltheapps.managers.ss_<clinit>->com.rufuslabs.alltheapps.managers.benns.ss_<init>,src,11,0,0,0,0
21,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_getString,src,9,0,0,0,0
22,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_removeAppInfoFromFavorites->com.rufuslabs.alltheapps.managers.benns.ss_toString->com.rufuslabs.alltheapps.managers.ss_putAppsLayouts->com.rufuslabs.alltheapps.managers.benns.ss_toString,src,9,0,0,0,0
23,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_upgrade->com.rufuslabs.alltheapps.managers.benns.ss_getAppLabel->com.rufuslabs.alltheapps.managers.ss_addAppInfo,src,6,0,0,0,0
24,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.views.swipeable.ss_setOnPageTurnListener->com.rufuslabs.alltheapps.views.ss_initViews->com.rufuslabs.alltheapps.views.swipeable.ss_<init>,src,9,0,0,0,0
25,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.views.swipeable.ss_setOnPageTurnListener->com.rufuslabs.alltheapps.ss_<init>,src,8,0,0,0,0
26,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable,src,8,0,0,0,0
27,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_setViewGroupPropagatable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_applyHooverListener->com.rufuslabs.alltheapps.managers.ss_<init>,src,11,0,0,0,0
28,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_setViewGroupPropagatable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_applyHooverListener->com.rufuslabs.alltheapps.views.ss_setOnAppsPageLoadedListener->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable,src,12,0,0,0,0
29,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_setViewGroupPropagatable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_applyHooverListener->com.rufuslabs.alltheapps.managers.ss_<init>,src,11,0,0,0,0
30,stl#com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.ss_onReceive->com.rufuslabs.alltheapps.managers.benns.ss_<init>->com.rufuslabs.alltheapps.managers.ss_<init>->com.rufuslabs.alltheapps.ss_initViews->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_setViewGroupPropagatable->com.rufuslabs.alltheapps.ss_<init>->com.rufuslabs.alltheapps.hoover.ss_applyHooverListener->com.rufuslabs.alltheapps.views.ss_setOnAppsPageLoadedListener->com.rufuslabs.alltheapps.hoover.ss_setViewHooverable,src,12,0,0,0,0
31,stl#com.rufuslabs.alltheapps.ss_onTouchEvent->com.rufuslabs.alltheapps.ss_onTouchEvent,src,2,0,0,0,0
