id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
2,stl#C.ss_onItemClick->C.ss_onItemClick,src,2,0,0,0,0
3,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
4,stl#C.ss_onKey->C.ss_onKey,src,2,0,0,0,0
5,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
6,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
7,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
8,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
9,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
10,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
11,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
12,stl#C.ss_onLongClick->C.ss_onLongClick,src,2,0,0,0,0
13,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
14,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
15,stl#C.ss_onLongClick->C.ss_onLongClick,src,2,0,0,0,0
16,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
17,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
18,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
19,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
20,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
21,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
22,stl#C.ss_onLongClick->C.ss_onLongClick,src,2,0,0,0,0
23,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
24,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
25,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
26,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
27,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
28,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
29,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
30,stl#C.ss_onClick->C.ss_onClick,src,2,0,0,0,0
31,stl#C.ss_onStartTrackingTouch->C.ss_onStartTrackingTouch,src,2,0,0,0,0
32,stl#C.ss_onStopTrackingTouch->C.ss_onStopTrackingTouch,src,2,0,0,0,0
33,stl#C.ss_onStopTrackingTouch->C.ss_onStopTrackingTouch,src,2,0,0,0,0
34,stl#C.ss_onStopTrackingTouch->C.ss_onStopTrackingTouch,src,2,0,0,0,0
35,stl#C.ss_onProgressChanged->C.ss_onProgressChanged,src,2,0,0,0,0
36,stl#C.ss_onStartTrackingTouch->C.ss_onStartTrackingTouch,src,2,0,0,0,0
37,stl#C.ss_onProgressChanged->C.ss_onProgressChanged,src,2,0,0,0,0
38,stl#C.ss_onStartTrackingTouch->C.ss_onStartTrackingTouch,src,2,0,0,0,0
39,stl#C.ss_onProgressChanged->C.ss_onProgressChanged,src,2,0,0,0,0
40,stl#R.ss_onClick->R.ss_onClick,src,2,0,0,0,0
41,stl#R.ss_<init>->R.ss_<init>,src,2,0,0,0,0
