id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#ActivityProcesses_onClick->ActivityProcesses_onClick,src,2,0,0,0,0
2,stl#ActivityProcesses_onSaveInstanceState->ActivityProcesses_onSaveInstanceState,src,2,0,0,0,0
3,stl#ActivityProcesses_onStart->ActivityProcesses_onStart,src,2,0,0,0,0
4,stl#ActivityProcesses_onItemClick->ActivityProcesses_onItemClick,src,2,0,0,0,0
5,stl#C_onCreate->C_onCreate,src,2,0,0,0,0
6,stl#C_onStart->C_onStart,src,2,0,0,0,0
7,stl#ServiceReader$4_stopRecord->ServiceReader$4_stopRecord,src,2,0,0,0,0
8,stl#ServiceReader$4_onBind->ServiceReader$4_onBind,src,2,0,0,0,0
9,stl#C_onStart->C_onStart,src,2,0,0,0,0
10,stl#C_onClick->C_onClick,src,2,0,0,0,0
11,stl#C_onCreate->C_onCreate,src,2,0,0,0,0
12,stl#C_onAnimationUpdate->C_onAnimationUpdate,src,2,0,0,0,0
13,stl#C_onGlobalLayout->C_onGlobalLayout,src,2,0,0,0,0
14,stl#C_onClick->C_onClick,src,2,0,0,0,0
15,stl#C_onStopTrackingTouch->C_onStopTrackingTouch,src,2,0,0,0,0
16,stl#C_onActivityResult->C_onActivityResult,src,2,0,0,0,0
17,stl#C_onKey->C_onKey,src,2,0,0,0,0
18,stl#C_onClick->C_onClick,src,2,0,0,0,0
19,stl#C_onClick->C_onClick,src,2,0,0,0,0
20,stl#C_onClick->C_onClick,src,2,0,0,0,0
21,stl#C_onProgressChanged->C_onProgressChanged,src,2,0,0,0,0
22,stl#C_onClick->C_onClick,src,2,0,0,0,0
23,stl#C_onClick->C_onClick,src,2,0,0,0,0
24,stl#C_onStop->C_onStop,src,2,0,0,0,0
25,stl#C_onGlobalLayout->C_onGlobalLayout,src,2,0,0,0,0
26,stl#C_onProgressChanged->C_onProgressChanged,src,2,0,0,0,0
27,stl#C_onStopTrackingTouch->C_onStopTrackingTouch,src,2,0,0,0,0
28,stl#C_onClick->C_onClick,src,2,0,0,0,0
29,stl#C_onClick->C_onClick,src,2,0,0,0,0
30,stl#C_onClick->C_onClick,src,2,0,0,0,0
31,stl#C_onRequestPermissionsResult->C_onRequestPermissionsResult,src,2,0,0,0,0
32,stl#C_onLongClick->C_onLongClick,src,2,0,0,0,0
33,stl#C_onGlobalLayout->C_onGlobalLayout,src,2,0,0,0,0
34,stl#C_onStopTrackingTouch->C_onStopTrackingTouch,src,2,0,0,0,0
35,stl#C_onSurfaceTextureUpdated->C_onSurfaceTextureUpdated,src,2,0,0,0,0
36,stl#C_onAnimationUpdate->C_onAnimationUpdate,src,2,0,0,0,0
37,stl#C_onClick->C_onClick,src,2,0,0,0,0
38,stl#C_onClick->C_onClick,src,2,0,0,0,0
39,stl#C_onClick->C_onClick,src,2,0,0,0,0
40,stl#C_onClick->C_onClick,src,2,0,0,0,0
41,stl#C_onLongClick->C_onLongClick,src,2,0,0,0,0
42,stl#C_onClick->C_onClick,src,2,0,0,0,0
43,stl#C_onClick->C_onClick,src,2,0,0,0,0
44,stl#C_onClick->C_onClick,src,2,0,0,0,0
45,stl#C_onClick->C_onClick,src,2,0,0,0,0
46,stl#C_onGlobalLayout->C_onGlobalLayout,src,2,0,0,0,0
47,stl#C_onProgressChanged->C_onProgressChanged,src,2,0,0,0,0
48,stl#C_onClick->C_onClick,src,2,0,0,0,0
49,stl#C_onKeyUp->C_onKeyUp,src,2,0,0,0,0
50,stl#C_onClick->C_onClick,src,2,0,0,0,0
51,stl#C_onClick->C_onClick,src,2,0,0,0,0
52,stl#C_onClick->C_onClick,src,2,0,0,0,0
53,stl#C_onSaveInstanceState->C_onSaveInstanceState,src,2,0,0,0,0
54,stl#C_onClick->C_onClick,src,2,0,0,0,0
55,stl#C_onClick->C_onClick,src,2,0,0,0,0
56,stl#C_onLongClick->C_onLongClick,src,2,0,0,0,0
57,stl#C_onClick->C_onClick,src,2,0,0,0,0
58,stl#C_<init>->C_<init>,src,2,0,0,0,0
