id,element,useCase,type,component
1,XlogUtils_onClick,src,undefined,XlogUtils
2,XlogUtils_access$100,src,undefined,XlogUtils
3,XlogUtils_onItemClick,src,undefined,XlogUtils
4,XlogUtils_access$200,src,undefined,XlogUtils
5,XlogUtils_access$000,src,undefined,XlogUtils
6,XlogUtils_onClick,src,undefined,XlogUtils
7,XlogUtils_access$6800,src,undefined,XlogUtils
8,XlogUtils_access$6700,src,undefined,XlogUtils
9,XlogUtils_access$4800,src,undefined,XlogUtils
10,XlogUtils_<init>,src,undefined,XlogUtils
11,XlogUtils_access$6600,src,undefined,XlogUtils
12,XlogUtils_onKey,src,undefined,XlogUtils
13,XlogUtils_access$5100,src,undefined,XlogUtils
14,XlogUtils_onClick,src,undefined,XlogUtils
15,XlogUtils_onClick,src,undefined,XlogUtils
16,XlogUtils_access$7000,src,undefined,XlogUtils
17,XlogUtils_<init>,src,undefined,XlogUtils
18,XlogUtils_onClick,src,undefined,XlogUtils
19,XlogUtils_<init>,src,undefined,XlogUtils
20,XlogUtils_onClick,src,undefined,XlogUtils
21,XlogUtils_access$6900,src,undefined,XlogUtils
22,XlogUtils_<init>,src,undefined,XlogUtils
23,XlogUtils_onClick,src,undefined,XlogUtils
24,XlogUtils_access$200,src,undefined,XlogUtils
25,XlogUtils_onClick,src,undefined,XlogUtils
26,XlogUtils_onClick,src,undefined,XlogUtils
27,XlogUtils_<init>,src,undefined,XlogUtils
28,XlogUtils_onLongClick,src,undefined,XlogUtils
29,XlogUtils_onClick,src,undefined,XlogUtils
30,XlogUtils_run,src,undefined,XlogUtils
31,XlogUtils_run,src,undefined,XlogUtils
32,XlogUtils_access$2300,src,undefined,XlogUtils
33,XlogUtils_<init>,src,undefined,XlogUtils
34,XlogUtils_run,src,undefined,XlogUtils
35,XlogUtils_access$2402,src,undefined,XlogUtils
36,XlogUtils_access$2500,src,undefined,XlogUtils
37,XlogUtils_access$2400,src,undefined,XlogUtils
38,XlogUtils_access$2302,src,undefined,XlogUtils
39,XlogUtils_access$1000,src,undefined,XlogUtils
40,XlogUtils_access$2100,src,undefined,XlogUtils
41,XlogUtils_setTextLabelCPUProcess,src,undefined,XlogUtils
42,XlogUtils_access$1800,src,undefined,XlogUtils
43,XlogUtils_access$700,src,undefined,XlogUtils
44,XlogUtils_access$1700,src,undefined,XlogUtils
45,XlogUtils_access$1500,src,undefined,XlogUtils
46,XlogUtils_access$300,src,undefined,XlogUtils
47,XlogUtils_access$1200,src,undefined,XlogUtils
48,XlogUtils_access$600,src,undefined,XlogUtils
49,XlogUtils_setTextLabelCPU,src,undefined,XlogUtils
50,XlogUtils_access$800,src,undefined,XlogUtils
51,XlogUtils_access$1100,src,undefined,XlogUtils
52,XlogUtils_setTextLabelMemory,src,undefined,XlogUtils
53,XlogUtils_access$1900,src,undefined,XlogUtils
54,XlogUtils_access$2000,src,undefined,XlogUtils
55,XlogUtils_access$500,src,undefined,XlogUtils
56,XlogUtils_access$900,src,undefined,XlogUtils
57,XlogUtils_access$2200,src,undefined,XlogUtils
58,XlogUtils_setTextLabelMemoryProcesses,src,undefined,XlogUtils
59,XlogUtils_access$1400,src,undefined,XlogUtils
60,XlogUtils_access$100,src,undefined,XlogUtils
61,XlogUtils_access$000,src,undefined,XlogUtils
62,XlogUtils_access$400,src,undefined,XlogUtils
63,XlogUtils_access$1300,src,undefined,XlogUtils
64,XlogUtils_access$1600,src,undefined,XlogUtils
65,XlogUtils_access$6402,src,undefined,XlogUtils
66,XlogUtils_access$5900,src,undefined,XlogUtils
67,XlogUtils_access$002,src,undefined,XlogUtils
68,XlogUtils_access$4400,src,undefined,XlogUtils
69,XlogUtils_access$6100,src,undefined,XlogUtils
70,XlogUtils_access$6400,src,undefined,XlogUtils
71,XlogUtils_access$6300,src,undefined,XlogUtils
72,XlogUtils_hideSettings,src,undefined,XlogUtils
73,XlogUtils_<init>,src,undefined,XlogUtils
74,XlogUtils_access$6502,src,undefined,XlogUtils
75,XlogUtils_onClick,src,undefined,XlogUtils
76,XlogUtils_access$5600,src,undefined,XlogUtils
77,XlogUtils_showSettings,src,undefined,XlogUtils
78,XlogUtils_<init>,src,undefined,XlogUtils
79,XlogUtils_onLongClick,src,undefined,XlogUtils
80,XlogUtils_onClick,src,undefined,XlogUtils
81,XlogUtils_onClick,src,undefined,XlogUtils
82,XlogUtils_access$5300,src,undefined,XlogUtils
83,XlogUtils_access$5200,src,undefined,XlogUtils
84,XlogUtils_onClick,src,undefined,XlogUtils
85,XlogUtils_<init>,src,undefined,XlogUtils
86,XlogUtils_access$6000,src,undefined,XlogUtils
87,XlogUtils_onClick,src,undefined,XlogUtils
88,XlogUtils_onClick,src,undefined,XlogUtils
89,XlogUtils_access$5000,src,undefined,XlogUtils
90,XlogUtils_access$702,src,undefined,XlogUtils
91,XlogUtils_onClick,src,undefined,XlogUtils
92,XlogUtils_access$4700,src,undefined,XlogUtils
93,XlogUtils_access$4900,src,undefined,XlogUtils
94,XlogUtils_access$4702,src,undefined,XlogUtils
95,XlogUtils_onLongClick,src,undefined,XlogUtils
96,XlogUtils_onClick,src,undefined,XlogUtils
97,XlogUtils_access$4600,src,undefined,XlogUtils
