id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
2,stl#XlogUtils_onItemClick->XlogUtils_onItemClick,src,2,0,0,0,0
3,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
4,stl#XlogUtils_onKey->XlogUtils_onKey,src,2,0,0,0,0
5,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
6,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
7,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
8,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
9,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
10,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
11,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
12,stl#XlogUtils_onLongClick->XlogUtils_onLongClick,src,2,0,0,0,0
13,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
14,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
15,stl#XlogUtils_onLongClick->XlogUtils_onLongClick,src,2,0,0,0,0
16,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
17,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
18,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
19,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
20,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
21,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
22,stl#XlogUtils_onLongClick->XlogUtils_onLongClick,src,2,0,0,0,0
23,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
24,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
25,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
26,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
27,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
28,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
29,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
30,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
31,stl#XlogUtils_onStartTrackingTouch->XlogUtils_onStartTrackingTouch,src,2,0,0,0,0
32,stl#XlogUtils_onStopTrackingTouch->XlogUtils_onStopTrackingTouch,src,2,0,0,0,0
33,stl#XlogUtils_onStopTrackingTouch->XlogUtils_onStopTrackingTouch,src,2,0,0,0,0
34,stl#XlogUtils_onStopTrackingTouch->XlogUtils_onStopTrackingTouch,src,2,0,0,0,0
35,stl#XlogUtils_onProgressChanged->XlogUtils_onProgressChanged,src,2,0,0,0,0
36,stl#XlogUtils_onStartTrackingTouch->XlogUtils_onStartTrackingTouch,src,2,0,0,0,0
37,stl#XlogUtils_onProgressChanged->XlogUtils_onProgressChanged,src,2,0,0,0,0
38,stl#XlogUtils_onStartTrackingTouch->XlogUtils_onStartTrackingTouch,src,2,0,0,0,0
39,stl#XlogUtils_onProgressChanged->XlogUtils_onProgressChanged,src,2,0,0,0,0
40,stl#XlogUtils_onClick->XlogUtils_onClick,src,2,0,0,0,0
41,stl#XlogUtils_<init>->XlogUtils_<init>,src,2,0,0,0,0
