id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:Profile Photo Screen,Create Profile,0,undefined,undefined
2,Display Selected Photo on Profile Photo Screen:Profile Photo Screen,Create Profile,0,undefined,undefined
3,Photos Screen:Display Selected Photo on Profile Photo Screen,Create Profile,0,undefined,undefined
4,Display available photos on Photos Screen:Photos Screen,Create Profile,0,undefined,undefined
5,Display photo on  Profile photo screen:Display available photos on Photos Screen,Create Profile,0,undefined,undefined
6,Profile Photo Screen:Display available photos on Photos Screen,Create Profile,0,undefined,undefined
7,Display photo on  Profile photo screen:Profile Photo Screen,Create Profile,0,undefined,undefined
8,Display pop-up "Password do not match" on Sign up Screen:Profile Photo Screen,Create Profile,0,undefined,undefined
9,Save Profile Photo:Profile,Create Profile,0,undefined,undefined
10,Profile Photo Screen:Save Profile Photo,Create Profile,0,undefined,undefined
11,User:Profile Photo Screen,Create Profile,0,undefined,undefined
12,stl#Actor:Profile Photo Screen,Create Profile,0,undefined,undefined
13,stl#User:Profile Photo Screen,Create Profile,0,undefined,undefined
