NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Arch_Diff,SWTI,SWTII,SWTIII
1,Admin deletes photo,6,12,0,10,3,5,2,0,0,0,0,0,0,0,6,0,0,2.5,0,0,0,20,20,19
2,Admin searches for photo by event,8,25,0,19,12,5,2,0,0,4,0,4,0,4,4,4,8,2.8333333333333335,6,0,22.666666666666668,10,10,9
3,Admin searches for photo by user,8,25,0,19,12,5,2,0,0,4,0,4,0,4,4,4,8,2.8333333333333335,6,0,22.666666666666668,10,10,9
4,Automatic deletion,6,15,0,9,0,6,3,6,0,0,6,6,0,6,0,6,3,2.6666666666666665,2,0,8,10,10,9
5,Create Account,10,17,0,15,6,7,2,0,0,0,0,0,0,0,10,0,0,3.6666666666666665,0,0,0,20,20,19
6,Create Profile,6,13,0,11,6,4,1,0,0,0,0,0,0,0,6,0,0,3,0,0,0,20,20,19
7,Create a Private Event,8,11,0,9,2,5,2,0,0,0,0,0,0,0,8,0,0,2.75,0,0,0,15,15,12
8,Create a Public Event,8,11,0,9,2,5,2,0,0,0,0,0,0,0,8,0,0,2.75,0,0,0,15,15,12
9,Delete Photos in Event if Owner,22,19,0,15,7,6,2,0,0,0,0,0,0,0,22,0,0,3.2264150943396226,0,0,0,10,10,9
10,Delete uploaded photos,44,36,0,26,16,9,1,0,0,2,0,2,0,2,42,2,201,2.6983240223463687,179,0,542.3631284916202,10,10,9
11,Downoad Photos to Device,6,10,0,8,4,3,1,0,0,0,0,0,0,0,6,0,0,3.3076923076923075,0,0,0,20,20,19
12,Log In to Account,10,12,0,10,3,4,3,0,0,0,0,0,0,0,10,0,0,2.772727272727273,0,0,0,20,20,19
13,Log Out of Account,18,9,0,7,4,3,0,0,0,0,0,0,0,0,18,0,0,4.755102040816326,0,0,0,20,20,19
14,Navigation,57,119,0,66,56,10,0,0,0,49,0,52,0,49,5,52,2.576923076923077,1.922077922077922,1.4807692307692308,0,4.953046953046953,10,9,7
15,Reserve a Hashtag,22,15,0,11,5,4,2,0,0,0,0,0,0,0,22,0,0,3.6666666666666665,0,0,0,15,15,12
16,Search by Location,12,25,0,17,8,6,3,0,0,0,0,0,0,0,12,0,0,2.473684210526316,0,0,0,15,15,12
17,Search by event,20,24,0,18,9,7,2,0,0,0,0,0,0,0,20,0,0,3.6666666666666665,0,0,0,20,20,19
18,Search event and upload photo,14,33,0,25,14,9,2,0,0,2,0,2,0,2,12,2,56,2.163265306122449,49,0,121.14285714285715,10,9,7
19,Set a password,2,7,0,5,3,2,0,0,0,0,0,0,0,0,2,0,0,2.6,0,0,0,20,20,19
20,Take a photo,16,21,0,15,9,5,1,0,0,2,0,2,0,2,14,2,52,3.227272727272727,44,0,167.8181818181818,20,20,19
21,Take photo for location,12,24,0,18,10,6,2,0,0,2,0,2,0,2,10,2,41,3.2285714285714286,35,0,132.37142857142857,20,20,19
22,Upload photo to my event,14,32,0,24,13,7,4,0,0,2,0,2,0,2,12,2,53,2.4347826086956523,46,0,129.04347826086956,10,10,9
23,View photos of event/View photos of private event with password,50,16,0,14,4,6,4,0,0,0,0,0,0,0,50,0,0,3.348993288590604,0,0,0,15,15,12
24,View photos on device,8,24,0,17,11,5,1,0,0,2,0,2,0,2,6,2,20.5,2.5757575757575757,16.5,0,52.803030303030305,20,18,14
