id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:Travel Book,Connect to trip plan - Trip Planner,0,undefined,undefined
2,Traveler:Login page,Connect to trip plan - Trip Planner,0,undefined,undefined
3,Already logged in?:Connect to trip plan cloud database,Connect to trip plan - Trip Planner,0,undefined,undefined
4,Already logged in?:Login page,Connect to trip plan - Trip Planner,0,undefined,undefined
5,Travel Book:Already logged in?,Connect to trip plan - Trip Planner,0,undefined,undefined
6,Connect to trip plan cloud database:Email password,Connect to trip plan - Trip Planner,0,undefined,undefined
7,Connect to trip plan cloud database:Travel Book,Connect to trip plan - Trip Planner,0,undefined,undefined
8,Connect to trip plan cloud database:Trip plan cloud database,Connect to trip plan - Trip Planner,0,undefined,undefined
9,check login:Connect to trip plan cloud database,Connect to trip plan - Trip Planner,0,undefined,undefined
10,Display home page:Is username/password correct?,Connect to trip plan - Trip Planner,0,undefined,undefined
11,Email password:Display home page,Connect to trip plan - Trip Planner,0,undefined,undefined
12,Get personnel trip plan information:Trip plan homepage,Connect to trip plan - Trip Planner,0,undefined,undefined
13,Trip plan cloud database:Get personnel trip plan information,Connect to trip plan - Trip Planner,0,undefined,undefined
14,Is username/password correct?:check login,Connect to trip plan - Trip Planner,0,undefined,undefined
15,Login page:check login,Connect to trip plan - Trip Planner,0,undefined,undefined
16,check login:Travel Book,Connect to trip plan - Trip Planner,0,undefined,undefined
17,stl#Traveler:Travel Book,Connect to trip plan - Trip Planner,0,undefined,undefined
18,stl#Traveler:Login page,Connect to trip plan - Trip Planner,0,undefined,undefined
