id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Partner:Not found page->Partner:Not found page,Contact us,CTRL,2,0,2,1,4
2,stl#Partner:Not found page->Partner:Not found page,Contact us,EXTCLL,2,0,2,1,4
3,stl#Partner:Not found page->Partner:Not found page,Contact us,INT,2,0,2,1,4
4,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Publish offer->Publish offer:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,TRAN_NA,8,0,2.142857142857143,7,17.142857142857142
5,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Publish offer->Publish offer:Contact Admin->Contact Admin:Customer complain Notification,Contact us,TRAN_NA,7,0,2.3333333333333335,6,16.333333333333336
6,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Display successful submitted page->Display successful submitted page:successfully submitted page,Contact us,TRAN_NA,6,0,2,5,12
7,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,TRAN_NA,7,0,2.1666666666666665,6,15.166666666666666
8,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Contact Admin->Contact Admin:Customer complain Notification,Contact us,TRAN_NA,6,0,2.4,5,14.399999999999999
9,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:E-coupon,Contact us,TRAN_NA,4,0,2.3333333333333335,3,9.333333333333334
10,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Display not found page->Display not found page:Not found page,Contact us,TRAN_NA,5,0,2.25,4,11.25
11,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Display->Display:ContactUs page->ContactUs page:Validate,Contact us,TRAN_NA,6,0,2.6,5,15.600000000000001
12,stl#Partner:ContactUs page->Partner:ContactUs page->ContactUs page:Validate->Validate:Customer,Contact us,TRAN_NA,4,0,2.3333333333333335,3,9.333333333333334
13,stl#Partner:successfully submitted page->Partner:successfully submitted page,Contact us,CTRL,2,0,2,1,4
14,stl#Partner:successfully submitted page->Partner:successfully submitted page,Contact us,EXTCLL,2,0,2,1,4
15,stl#Partner:successfully submitted page->Partner:successfully submitted page,Contact us,INT,2,0,2,1,4
16,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Publish offer->Publish offer:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,TRAN_NA,10,0,1.8888888888888888,9,18.88888888888889
17,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Publish offer->Publish offer:Contact Admin->Contact Admin:Customer complain Notification,Contact us,TRAN_NA,9,0,2,8,18
18,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Display successful submitted page->Display successful submitted page:successfully submitted page,Contact us,TRAN_NA,8,0,1.7142857142857142,7,13.714285714285714
19,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,TRAN_NA,9,0,1.875,8,16.875
20,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Successfully submitted->Successfully submitted:Contact Admin->Contact Admin:Customer complain Notification,Contact us,TRAN_NA,8,0,2,7,16
21,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:E-coupon,Contact us,TRAN_NA,6,0,1.8,5,10.8
22,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Display not found page->Display not found page:Not found page,Contact us,TRAN_NA,7,0,1.8333333333333333,6,12.833333333333332
23,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Display->Display:ContactUs page->ContactUs page:Validate,Contact us,TRAN_NA,8,0,2.142857142857143,7,17.142857142857142
24,stl#Partner:Home page->Partner:Home page->Home page:Display contact us page->Display contact us page:ContactUs page->ContactUs page:Validate->Validate:Customer,Contact us,TRAN_NA,6,0,1.8,5,10.8
25,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,CTRL,5,0,2,4,10
26,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,EXTCLL,5,0,2,4,10
27,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Display customer complain notification->Display customer complain notification:Admin gets the message,Contact us,INT,5,0,2,4,10
28,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Customer complain Notification,Contact us,CTRL,4,0,2.3333333333333335,3,9.333333333333334
29,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Customer complain Notification,Contact us,EXTCLL,4,0,2.3333333333333335,3,9.333333333333334
30,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Customer complain Notification,Contact us,DM,4,0,2.3333333333333335,3,9.333333333333334
31,stl#Add Server:Publish offer->Add Server:Publish offer->Publish offer:Contact Admin->Contact Admin:Customer complain Notification,Contact us,EI,4,0,2.3333333333333335,3,9.333333333333334
