id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,5,0,2.25,4,11.25
2,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,6,0,2.2,5,13.200000000000001
3,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info,View Partner Billing status storyboard,TRAN_NA,7,0,2,6,14
4,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen,View Partner Billing status storyboard,TRAN_NA,9,0,2.25,8,20.25
5,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,9,0,2.375,8,21.375
6,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,10,0,2.3333333333333335,9,23.333333333333336
7,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Transaction Log,View Partner Billing status storyboard,TRAN_NA,4,0,1.6666666666666667,3,6.666666666666667
8,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner data,View Partner Billing status storyboard,TRAN_NA,4,0,2.3333333333333335,3,9.333333333333334
9,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner Info,View Partner Billing status storyboard,TRAN_NA,4,0,1.6666666666666667,3,6.666666666666667
10,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,5,0,2.75,4,13.75
11,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,6,0,2.6,5,15.600000000000001
12,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result,View Partner Billing status storyboard,TRAN_NA,7,0,2.6666666666666665,6,18.666666666666664
13,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen,View Partner Billing status storyboard,TRAN_NA,9,0,2.25,8,20.25
14,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,9,0,2.375,8,21.375
15,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,10,0,2.3333333333333335,9,23.333333333333336
16,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Transaction Log,View Partner Billing status storyboard,TRAN_NA,8,0,2.142857142857143,7,17.142857142857142
17,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner data,View Partner Billing status storyboard,TRAN_NA,8,0,2.4285714285714284,7,19.428571428571427
18,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner Info,View Partner Billing status storyboard,TRAN_NA,8,0,2.142857142857143,7,17.142857142857142
