id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Process->Process:Create offer->Create offer:Offers database,Create Offer,CTRL,5,0,3.5,4,17.5
2,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Process->Process:Create offer->Create offer:Offers database,Create Offer,EXTCLL,5,0,3.5,4,17.5
3,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Process->Process:Create offer->Create offer:Offers database,Create Offer,DM,5,0,3.5,4,17.5
4,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Process->Process:Create offer->Create offer:Offers database,Create Offer,EI,5,0,3.5,4,17.5
5,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Coupon,Create Offer,CTRL,3,0,3.5,2,10.5
6,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Coupon,Create Offer,EXTCLL,3,0,3.5,2,10.5
7,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Coupon,Create Offer,DM,3,0,3.5,2,10.5
8,stl#Third Party Client:Design coupon->Third Party Client:Design coupon->Design coupon:Coupon,Create Offer,EI,3,0,3.5,2,10.5
9,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:External Image Service,Create Offer,TRAN_NA,7,0,1.1666666666666667,6,8.166666666666668
10,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Process->Process:Create offer->Create offer:Offers database,Create Offer,TRAN_NA,9,0,2,8,18
11,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Display error message->Display error message:Design Coupon Page->Design Coupon Page:Design coupon->Design coupon:Process->Process:Create offer->Create offer:Offers database,Create Offer,TRAN_NA,12,0,2.5454545454545454,11,30.545454545454547
12,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Display error message->Display error message:Design Coupon Page->Design Coupon Page:Design coupon->Design coupon:Coupon,Create Offer,TRAN_NA,10,0,2.3333333333333335,9,23.333333333333336
13,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Display error message->Display error message:Create Geo-fence page->Create Geo-fence page:Create Geo-fence->Create Geo-fence:Process->Process:Create offer->Create offer:Offers database,Create Offer,TRAN_NA,12,0,2.272727272727273,11,27.272727272727273
14,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Check->Check:Display error message->Display error message:Design Coupon Page->Design Coupon Page:Design coupon->Design coupon:Process->Process:Create offer->Create offer:Offers database,Create Offer,TRAN_NA,13,0,2.4166666666666665,12,31.416666666666664
15,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Check->Check:Display error message->Display error message:Design Coupon Page->Design Coupon Page:Design coupon->Design coupon:Coupon,Create Offer,TRAN_NA,11,0,2.2,10,24.200000000000003
16,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Check->Check:Display error message->Display error message:Create Geo-fence page->Create Geo-fence page:Create Geo-fence->Create Geo-fence:Process->Process:Create offer->Create offer:Offers database,Create Offer,TRAN_NA,13,0,2.1666666666666665,12,28.166666666666664
17,stl#FT sales rep:Offers Page->FT sales rep:Offers Page->Offers Page:Link offers->Link offers:Create Offer Page 1->Create Offer Page 1:Enter Value->Enter Value:Proceed->Proceed:Check->Check:Create offer page 2->Create offer page 2:Link DC & Geo->Link DC & Geo:Process->Process:Create offer->Create offer:Offers database,Create Offer,TRAN_NA,12,0,1.9090909090909092,11,22.90909090909091
