id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#User:Picture Display->User:Picture Display,Browse Event Pictures,CTRL,2,0,2,1,4
2,stl#User:Picture Display->User:Picture Display,Browse Event Pictures,EXTCLL,2,0,2,1,4
3,stl#User:Picture Display->User:Picture Display,Browse Event Pictures,INT,2,0,2,1,4
4,stl#User:Hashtag input box->User:Hashtag input box->Hashtag input box:Search->Search:picture->picture:shows the search result->shows the search result:Search Result->Search Result:shows the  pictures clicked->shows the  pictures clicked:Picture Display,Browse Event Pictures,TRAN_NA,8,0,1.7142857142857142,7,13.714285714285714
5,stl#User:Search Result->User:Search Result->Search Result:shows the  pictures clicked->shows the  pictures clicked:Picture Display,Browse Event Pictures,TRAN_NA,4,0,2,3,8
6,stl#User:Hashtag icon->User:Hashtag icon->Hashtag icon:Show hashtag text input->Show hashtag text input:Hashtag input box->Hashtag input box:Search->Search:picture->picture:shows the search result->shows the search result:Search Result->Search Result:shows the  pictures clicked->shows the  pictures clicked:Picture Display,Browse Event Pictures,TRAN_NA,10,0,1.5555555555555556,9,15.555555555555555
1,stl#User:Query Users List Button->User:Query Users List Button->Query Users List Button:query user list->query user list:user list filter box->user list filter box:Filter users->Filter users:Filtered List of Users,Browse Users,TRAN_NA,6,0,1.6,5,9.600000000000001
2,stl#User:Query Users List Button->User:Query Users List Button->Query Users List Button:query user list->query user list:User,Browse Users,TRAN_NA,4,0,1,3,4
3,stl#User:Filtered List of Users->User:Filtered List of Users,Browse Users,CTRL,2,0,2,1,4
4,stl#User:Filtered List of Users->User:Filtered List of Users,Browse Users,EXTCLL,2,0,2,1,4
5,stl#User:Filtered List of Users->User:Filtered List of Users,Browse Users,INT,2,0,2,1,4
6,stl#User:user list filter box->User:user list filter box->user list filter box:Filter users->Filter users:Filtered List of Users,Browse Users,TRAN_NA,4,0,2,3,8
1,stl#Admin:Click system setting button->Admin:Click system setting button->Click system setting button:Load system setting page->Load system setting page:System Setting Page->System Setting Page:Store System Settings->Store System Settings:System Settings,Change App Settings,TRAN_NA,6,0,1.4,5,8.399999999999999
2,stl#Admin:System Setting Page->Admin:System Setting Page->System Setting Page:Store System Settings->Store System Settings:System Settings,Change App Settings,TRAN_NA,4,0,1.6666666666666667,3,6.666666666666667
1,stl#User:Warning information of duplicate->User:Warning information of duplicate,Create Private Event,CTRL,2,0,3,1,6
2,stl#User:Warning information of duplicate->User:Warning information of duplicate,Create Private Event,EXTCLL,2,0,3,1,6
3,stl#User:Warning information of duplicate->User:Warning information of duplicate,Create Private Event,INT,2,0,3,1,6
4,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:event->event:Check the presence of the event->Check the presence of the event:event,Create Private Event,TRAN_NA,6,0,2.6,5,15.600000000000001
5,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:event->event:Check the presence of the event->Check the presence of the event:Create the private event->Create the private event:event->event:Check the presence of the event,Create Private Event,TRAN_NA,8,0,2.5714285714285716,7,20.571428571428573
6,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:event->event:Check the presence of the event->Check the presence of the event:Warning information of duplicate,Create Private Event,TRAN_NA,6,0,2.6,5,15.600000000000001
7,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:Create the private event->Create the private event:event->event:Check the presence of the event->Check the presence of the event:Create the private event,Create Private Event,TRAN_NA,7,0,2.3333333333333335,6,16.333333333333336
8,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:Create the private event->Create the private event:event->event:Check the presence of the event->Check the presence of the event:event->event:Check the presence of the event,Create Private Event,TRAN_NA,8,0,2.5714285714285716,7,20.571428571428573
9,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:Create the private event->Create the private event:event->event:Check the presence of the event->Check the presence of the event:Warning information of duplicate,Create Private Event,TRAN_NA,7,0,2.5,6,17.5
10,stl#User:Private Event Name and Password Input->User:Private Event Name and Password Input->Private Event Name and Password Input:Check the presence of the event->Check the presence of the event:Warning information of duplicate,Create Private Event,TRAN_NA,4,0,2.3333333333333335,3,9.333333333333334
1,stl#User:Public Event Name Field->User:Public Event Name Field->Public Event Name Field:Create the public event->Create the public event:Public Event,Create Public Events,TRAN_NA,4,0,1,3,4
2,stl#User:Public Event Name Field->User:Public Event Name Field->Public Event Name Field:Check presence of the event->Check presence of the event:Warning Information of Duplicate,Create Public Events,TRAN_NA,4,0,1.3333333333333333,3,5.333333333333333
3,stl#User:Warning Information of Duplicate->User:Warning Information of Duplicate,Create Public Events,CTRL,2,0,2,1,4
4,stl#User:Warning Information of Duplicate->User:Warning Information of Duplicate,Create Public Events,EXTCLL,2,0,2,1,4
5,stl#User:Warning Information of Duplicate->User:Warning Information of Duplicate,Create Public Events,INT,2,0,2,1,4
1,stl#User:Delete Event Button->User:Delete Event Button->Delete Event Button:Show warning of deletion->Show warning of deletion:Delete Event Button->Delete Event Button:Show warning of deletion,Delete Event,TRAN_NA,5,0,2,4,10
2,stl#User:Delete Event Button->User:Delete Event Button->Delete Event Button:Show warning of deletion->Show warning of deletion:Confirm Box->Confirm Box:Close warning and delete event->Close warning and delete event:Delete Picture->Delete Picture:Picture,Delete Event,TRAN_NA,7,0,1.6666666666666667,6,11.666666666666668
3,stl#User:Delete Event Button->User:Delete Event Button->Delete Event Button:Show warning of deletion->Show warning of deletion:Confirm Box->Confirm Box:Close warning and delete event->Close warning and delete event:Event,Delete Event,TRAN_NA,6,0,1.8,5,10.8
4,stl#User:Confirm Box->User:Confirm Box->Confirm Box:Close warning and delete event->Close warning and delete event:Delete Picture->Delete Picture:Picture,Delete Event,TRAN_NA,5,0,1.5,4,7.5
5,stl#User:Confirm Box->User:Confirm Box->Confirm Box:Close warning and delete event->Close warning and delete event:Event,Delete Event,TRAN_NA,4,0,1.6666666666666667,3,6.666666666666667
