NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Arch_Diff,SWTI,SWTII,SWTIII
1,Browse Event Pictures,4,16,0,12,7,4,1,0,0,1,0,1,0,1,3,1,24,1.7,20,0,40.8,20,18,14
2,Browse Users,4,11,0,8,5,2,1,0,0,1,0,1,0,1,3,1,16,1.5833333333333333,12,0,25.333333333333332,15,12,9
3,Change App Settings,2,8,0,6,3,2,1,0,0,0,0,0,0,0,2,0,0,1.5,0,0,0,15,12,9
4,Create Private Event,8,10,0,8,3,3,2,0,0,1,0,1,0,1,7,1,48,2.525,40,0,121.19999999999999,15,15,12
5,Create Public Events,3,8,0,6,3,2,1,0,0,1,0,1,0,1,2,1,10,1.2857142857142858,7,0,12.857142857142858,10,9,7
6,Delete Event,5,11,0,9,4,3,2,0,0,0,0,0,0,0,5,0,0,1.7272727272727273,0,0,0,15,12,9
7,Delete Picture,4,9,0,7,4,2,1,0,0,0,0,0,0,0,4,0,0,2.3333333333333335,0,0,0,15,15,12
8,Generate Statistics Report,3,7,0,5,3,1,1,0,0,1,0,1,0,1,2,1,10,1.2857142857142858,7,0,12.857142857142858,15,12,9
9,Like Picture,3,7,0,5,3,1,1,0,0,1,0,1,0,1,2,1,10,1.2857142857142858,7,0,12.857142857142858,10,9,7
10,Login,5,9,1,7,4,1,1,0,0,1,0,1,0,1,4,1,19,1.8571428571428572,14,0,35.285714285714285,10,9,7
11,Logout,1,4,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,12,9
12,Post Picture,13,24,0,20,10,8,2,0,0,0,0,0,0,0,13,0,0,2.206896551724138,0,0,0,15,15,12
13,Register,3,7,0,5,3,1,1,0,0,1,0,1,0,1,2,1,10,1.2857142857142858,7,0,12.857142857142858,15,12,9
14,Report Picture - Submit,3,9,0,7,4,2,1,0,0,0,0,0,0,0,3,0,0,1.8333333333333333,0,0,0,15,12,9
15,Restore Reported Picture,1,4,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,12,9
16,Save Picture to Device,3,6,0,5,1,2,2,0,0,0,0,0,0,0,3,0,0,1.7692307692307692,0,0,0,15,12,9
17,Search Events,3,7,0,5,3,1,1,0,0,1,0,1,0,1,2,1,10,1.2857142857142858,7,0,12.857142857142858,10,9,7
18,Search Pictures,4,11,0,8,5,2,1,0,0,1,0,1,0,1,3,1,16,1.5833333333333333,12,0,25.333333333333332,15,12,9
19,Sort Pictures,5,13,0,9,3,6,0,0,0,2,0,3,0,2,2,3,6,2.3076923076923075,4.333333333333333,0,13.846153846153845,15,15,12
20,Suspend User - Confirm,5,11,0,8,5,2,1,0,0,1,0,1,0,1,4,1,22,1.6470588235294117,17,0,36.23529411764706,15,12,9
21,Unlike Picture,3,7,0,5,3,1,1,0,0,1,0,1,0,1,2,1,10,1.2857142857142858,7,0,12.857142857142858,15,12,9
22,Update Event,7,14,0,11,6,3,2,0,0,0,0,0,0,0,7,0,0,2.3333333333333335,0,0,0,15,15,12
23,View Nearby Pictures,1,4,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,12,9
24,View Specific Picture,1,4,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,12,9
