id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag,Reserve a Hashtag,TRAN_NA,6,5,NaN,undefined,NaN
2,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
3,stl#User:Set Password Screen->User:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
4,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
5,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,6,5,NaN,undefined,NaN
6,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,6,5,NaN,undefined,NaN
7,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
8,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
9,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
10,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
11,stl#User:Create Event Screen->User:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
12,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
13,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,6,5,NaN,undefined,NaN
14,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,6,5,NaN,undefined,NaN
15,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
16,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
17,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,7,6,NaN,undefined,NaN
18,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
19,stl#Actor:Create Event Screen->Actor:Create Event Screen->Create Event Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
20,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Handle Creation Error->Handle Creation Error:Set Password Screen->Set Password Screen:Create new event with hashtag,Reserve a Hashtag,TRAN_NA,6,5,NaN,undefined,NaN
21,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event Collection,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
22,stl#Actor:Set Password Screen->Actor:Set Password Screen->Set Password Screen:Create new event with hashtag->Create new event with hashtag:Event,Reserve a Hashtag,TRAN_NA,4,3,NaN,undefined,NaN
