NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Admin deletes photo,6,12,0,10,10,0,0,0,0,0,0,0,0,0,6,0,0,NaN,0,0,NaN,0,0,24,6,6.0888,6.6474,7.0008
2,Admin searches for photo by event,8,25,0,19,15,4,0,0,0,2,0,4,0,2,4,4,8,NaN,NaN,6,NaN,0,0,32,8,8.1184,10.4654,11.0254
3,Admin searches for photo by user,8,25,0,19,9,9,1,0,0,2,0,4,0,2,4,4,8,NaN,NaN,6,NaN,0,0,32,8,8.1184,10.4654,11.0254
4,Automatic deletion,6,15,0,9,9,0,0,0,0,0,0,0,0,0,6,0,0,NaN,0,0,NaN,0,0,24,6,6.0888,6.444,7.0008
5,Create Account,10,17,0,15,9,5,1,0,0,0,0,0,0,0,10,0,0,NaN,0,0,NaN,0,0,40,10,10.148,14.8936,15.05
6,Create Profile,6,13,0,11,3,8,0,0,0,0,0,2,0,0,4,2,19,NaN,NaN,16,NaN,0,0,24,6,6.0888,10.1908,10.3828
7,Create a Private Event,8,11,0,9,4,5,0,0,0,0,0,0,0,0,8,0,0,NaN,0,0,NaN,0,0,32,8,8.1184,8.7954,9.3344
8,Create a Public Event,8,11,0,9,4,5,0,0,0,0,0,0,0,0,8,0,0,NaN,0,0,NaN,0,0,32,8,8.1184,8.7954,9.3344
9,Delete Photos in Event if Owner,22,19,0,15,15,0,0,0,0,0,0,0,0,0,22,0,0,NaN,0,0,NaN,0,0,88,22,22.3256,31.7318,32.4336
10,Delete uploaded photos,44,36,0,26,21,5,0,0,0,0,0,2,0,0,42,2,201,NaN,NaN,179,NaN,0,0,176,44,44.6512,79.5106,90.1012
11,Downoad Photos to Device,6,10,0,8,7,1,0,0,0,0,0,0,0,0,6,0,0,NaN,0,0,NaN,0,0,24,6,6.0888,6.8508,7.0008
12,Log In to Account,10,12,0,10,5,4,1,0,0,0,0,0,0,0,10,0,0,NaN,0,0,NaN,0,0,40,10,10.148,12.8168,13.359
13,Log Out of Account,18,9,0,7,6,1,0,0,0,0,0,0,0,0,18,0,0,NaN,0,0,NaN,0,0,72,18,18.2664,30.7758,31.1484
14,Navigation,57,119,0,66,50,16,0,0,0,41,0,52,0,41,5,52,2.576923077,NaN,NaN,1.480769231,NaN,0,0,228,57,57.8436,61.7265,66.5076
15,Reserve a Hashtag,22,15,0,11,11,0,0,0,0,0,0,0,0,0,22,0,0,NaN,0,0,NaN,0,0,88,22,22.3256,31.7318,32.4336
16,Search by Location,12,25,0,17,15,2,0,0,0,0,0,0,0,0,12,0,0,NaN,0,0,NaN,0,0,48,12,12.1776,12.888,14.0016
17,Search by event,20,24,0,18,4,14,0,0,0,0,0,4,0,0,16,4,44,NaN,NaN,39,NaN,0,0,80,20,20.296,36.874,36.864
18,Search event and upload photo,14,33,0,25,12,13,0,0,0,2,0,2,0,2,12,2,56,NaN,NaN,49,NaN,0,0,56,14,14.2072,22.9364,27.1052
19,Set a password,2,7,0,5,3,2,0,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.3514,2.3336
20,Take a photo,16,21,0,15,13,2,0,0,0,2,0,2,0,2,14,2,52,NaN,NaN,44,NaN,0,0,64,16,16.2368,28.4244,28.8148
21,Take photo for location,12,24,0,18,18,0,0,0,0,2,0,2,0,2,10,2,41,NaN,NaN,35,NaN,0,0,48,12,12.1776,18.915,19.0746
22,Upload photo to my event,14,32,0,24,19,5,0,0,0,0,0,2,0,0,12,2,53,NaN,NaN,46,NaN,0,0,56,14,14.2072,24.6064,24.7902
23,View photos of event/View photos of private event with password,50,16,0,14,13,1,0,0,0,0,0,0,0,0,50,0,0,NaN,0,0,NaN,0,0,200,50,50.74,81.148,82.014
24,View photos on device,8,24,0,17,16,1,0,0,0,2,0,2,0,2,6,2,20.5,NaN,NaN,16.5,NaN,0,0,32,8,8.1184,10.6688,11.0254
