id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:partner offer page,Subscribe and unsubscribe from partner offer,0,undefined,undefined
2,Traveler:Management subscription page,Subscribe and unsubscribe from partner offer,0,undefined,undefined
3,Click back:Management subscription page,Subscribe and unsubscribe from partner offer,0,undefined,undefined
4,partner offer page:Click back,Subscribe and unsubscribe from partner offer,0,undefined,undefined
5,Retrieve coupon list:Coupon Info,Subscribe and unsubscribe from partner offer,0,undefined,undefined
6,Return search results:Coupon Info,Subscribe and unsubscribe from partner offer,0,undefined,undefined
7,Display partner info:Retrieve partner info,Subscribe and unsubscribe from partner offer,0,undefined,undefined
8,subscription controller:Display partner info,Subscribe and unsubscribe from partner offer,0,undefined,undefined
9,Management subscription page:subscription controller,Subscribe and unsubscribe from partner offer,0,undefined,undefined
10,subscription controller:Offer,Subscribe and unsubscribe from partner offer,0,undefined,undefined
11,Retrieve partner info:Offer,Subscribe and unsubscribe from partner offer,0,undefined,undefined
12,Sort coupon list:Retrieve coupon list,Subscribe and unsubscribe from partner offer,0,undefined,undefined
13,Search coupon:Return search results,Subscribe and unsubscribe from partner offer,0,undefined,undefined
14,partner offer page:Search coupon,Subscribe and unsubscribe from partner offer,0,undefined,undefined
15,partner offer page:Sort coupon list,Subscribe and unsubscribe from partner offer,0,undefined,undefined
16,click "popular":Sort coupon list,Subscribe and unsubscribe from partner offer,0,undefined,undefined
17,partner offer page:click "popular",Subscribe and unsubscribe from partner offer,0,undefined,undefined
18,partner offer page:subscription controller,Subscribe and unsubscribe from partner offer,0,undefined,undefined
19,subscription controller:subscription success,Subscribe and unsubscribe from partner offer,0,undefined,undefined
20,subscription controller:subscription failed,Subscribe and unsubscribe from partner offer,0,undefined,undefined
21,stl#Traveler:partner offer page,Subscribe and unsubscribe from partner offer,0,undefined,undefined
22,stl#Traveler:Management subscription page,Subscribe and unsubscribe from partner offer,0,undefined,undefined
