NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Admin Login,19,40,0,38,15,13,10,0,0,0,0,0,0,0,19,0,0,NaN,0,0,NaN,0,0,76,19,19.2812,25.292900000000003,26.396699999999996
2,Bill partner for redemption transaction,38,29,0,25,9,5,11,0,0,0,0,2,0,0,36,2,146,NaN,NaN,127,NaN,0,0,152,38,38.56240000000002,66.1832,66.32140000000004
3,Delete Partner Account,7,17,0,15,2,3,10,0,0,0,0,1,0,0,6,1,33,NaN,NaN,26,NaN,0,0,28,7,7.1036,9.391399999999999,9.858600000000001
4,Notify Partner of Redemption,17,29,0,26,17,7,2,0,0,1,0,1,0,1,16,1,130,NaN,NaN,113,NaN,0,0,68,17,17.251599999999996,31.5752,31.672599999999996
5,Reactive Partner Account,7,14,0,11,4,3,4,0,0,2,0,2,0,2,5,2,17,NaN,NaN,13.5,NaN,0,0,28,7,7.1036,8.7598,9.013100000000001
6,Resolve Dispute,30,23,0,21,3,9,9,0,0,0,0,0,0,0,30,0,0,NaN,0,0,NaN,0,0,120,30,30.44400000000001,44.37569999999999,45.15000000000001
7,Suspend Partner Account Storyboard,16,26,0,23,5,7,11,0,0,1,0,2,0,1,14,2,39.5,NaN,NaN,31.5,NaN,0,0,64,16,16.236799999999995,20.93080000000001,22.05079999999999
8,Validate Redemption Password,1,17,0,16,6,6,4,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
9,View Partner Billing status storyboard,18,14,0,13,4,5,4,0,0,0,0,0,0,0,18,0,0,NaN,0,0,NaN,0,0,72,18,18.266399999999997,29.8391,30.302899999999998
10,View Transaction Log,12,21,0,20,13,2,5,0,0,0,0,0,0,0,12,0,0,NaN,0,0,NaN,0,0,48,12,12.177599999999996,12.888,14.001600000000002
11,View redemption statistics for partner storyboard,59,23,0,21,7,10,4,0,0,0,0,2,0,0,57,2,222,NaN,NaN,192.5,NaN,0,0,236,59,59.87320000000004,106.75930000000001,107.73419999999996
12,Connect to trip plan - Android,2,13,0,12,3,5,4,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,3.0846999999999998,3.1791
13,Login to tripplanner - Android,44,35,0,33,11,6,16,0,0,0,0,0,0,0,44,0,0,NaN,0,0,NaN,0,0,176,44,44.651200000000024,87.6358,116.73920000000007
14,Receive Coupon - Android,44,29,0,25,7,13,5,3,0,0,3,7,0,3,37,7,34.714285714285715,NaN,NaN,28.428571428571427,NaN,0,0,176,44,44.651200000000024,60.87829999999999,63.176200000000044
15,Redeem Coupon - Android,5,20,0,17,8,6,3,0,0,0,0,0,0,0,5,0,0,NaN,0,0,NaN,0,0,20,5,5.074,5.5734,5.8340000000000005
16,Save it for later,5,13,0,12,9,3,0,0,0,0,0,0,0,0,5,0,0,NaN,0,0,NaN,0,0,20,5,5.074,9.1168,9.216
17,View stored coupons - Android,6,15,0,14,6,8,0,0,0,0,0,0,0,0,6,0,0,NaN,0,0,NaN,0,0,24,6,6.0888,9.3558,9.5373
18,Connect to trip plan - iOS,2,9,0,8,2,4,2,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.2497,2.3336
19,Login to tripplanner - iOS,44,35,0,33,11,6,16,0,0,0,0,0,0,0,44,0,0,NaN,0,0,NaN,0,0,176,44,44.651200000000024,87.6358,116.73920000000007
20,Receive Coupon - iOS,18,21,0,17,4,12,1,2,0,0,2,7,0,2,11,7,11.571428571428571,NaN,NaN,9,NaN,0,0,72,18,18.266399999999997,19.6371,21.002399999999994
21,Redeem Coupon - iOS,4,17,0,14,7,7,0,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,4.296,4.6672
22,Save it for lateer,3,10,0,9,7,2,0,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,5.0954,5.1914
23,View stored coupons - iOS,3,12,0,11,5,6,0,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,4.2604,4.3459
24,Buy Partner Subscription,4,17,0,13,7,3,3,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,7.1061,7.203700000000001
25,Cancel Partner Subscription,7,14,0,11,5,2,4,1,0,0,1,1,0,1,6,1,35,NaN,NaN,28,NaN,0,0,28,7,7.1036,8.6581,9.013100000000001
26,Contact us,22,28,0,23,9,5,9,1,0,1,1,2,0,2,20,2,68.5,NaN,NaN,57.5,NaN,0,0,88,22,22.3256,33.503499999999995,34.1246
27,Create Account,16,25,0,23,7,11,5,0,0,0,0,0,0,0,16,0,0,NaN,0,0,NaN,0,0,64,16,16.236799999999995,32.1712,39.20730000000001
28,Create Offer,26,35,0,31,8,10,13,0,0,0,0,1,0,0,25,1,236,NaN,NaN,210,NaN,0,0,104,26,26.384800000000006,45.19139999999999,49.56180000000003
