NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Algorithm,1,5,0,4,0,4,0,0,0,0,0,1,0,0,0,1,2,NaN,NaN,1,NaN,0,0,4,1,1.0148,1.074,1.1668
2,Calculate score ,1,6,0,5,4,0,1,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
3,Change Weapon,2,9,0,7,0,0,7,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
4,Choose Avatar,2,5,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
5,Choose Weapon,0,7,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Create Account,4,9,0,8,3,5,0,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,5.2326999999999995,5.512700000000001
7,Determine AR/ VR mode,2,8,0,6,5,1,0,0,0,2,0,2,0,2,0,2,2,NaN,NaN,1,NaN,0,0,8,2,2.0296,2.148,2.3336
8,Fight Battle,4,12,0,10,6,1,3,0,0,0,0,0,0,0,4,0,0,NaN,0,0,NaN,0,0,16,4,4.0592,4.3977,4.6672
9,Get Score,2,5,0,4,3,0,1,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
10,Increase Difficulty accordingly,6,10,0,9,2,4,3,0,0,0,0,0,0,0,6,0,0,NaN,0,0,NaN,0,0,24,6,6.0888,6.444,7.000800000000001
11,Increase difficulty ,7,12,0,11,2,8,1,0,0,0,0,0,0,0,7,0,0,NaN,0,0,NaN,0,0,28,7,7.1036,9.4931,9.858600000000001
12,Link the tourist spot to Doug's E-book,1,6,0,5,1,4,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
13,Login,1,6,0,5,3,2,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,2.0107,2.0123
14,Navigate in AR Mode,3,7,0,6,1,4,1,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
15,Navigate in VR Mode,1,4,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
16,Play Ar mode,2,5,0,4,2,2,0,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
17,Render Army,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Render Battle Scene,1,7,0,6,2,4,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,NaN,0,0,4,1,1.0148,1.074,1.1668
19,Render Battle scene,2,9,0,7,2,5,0,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
20,Render Intial Mode,2,8,0,6,0,6,0,0,0,0,0,2,0,0,0,2,4,NaN,NaN,3,NaN,0,0,8,2,2.0296,2.148,2.3336
21,Render Minimap,2,4,0,3,2,1,0,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
22,Update Database,3,6,0,5,3,0,2,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
23,Update Screen,2,7,0,5,4,1,0,0,0,2,0,2,0,2,0,2,2,NaN,NaN,1,NaN,0,0,8,2,2.0296,2.148,2.3336
24,Use Weapon,2,7,0,6,0,1,5,0,0,0,0,0,0,0,2,0,0,NaN,0,0,NaN,0,0,8,2,2.0296,2.148,2.3336
25,Use Weapon,3,6,0,5,1,1,3,0,0,0,0,0,0,0,3,0,0,NaN,0,0,NaN,0,0,12,3,3.0443999999999996,3.2220000000000004,3.5004
