id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Make payment,View Bill,TRAN_NA,5,4,NaN,undefined,NaN
2,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Dispute bill->Dispute bill:Subscription,View Bill,TRAN_NA,6,5,NaN,undefined,NaN
3,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Dispute bill->Dispute bill:Disputation request page->Disputation request page:Submit disputation request->Submit disputation request:Validate disputation request->Validate disputation request:Disputation request success page,View Bill,TRAN_NA,9,8,NaN,undefined,NaN
4,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Dispute bill->Dispute bill:Disputation request page->Disputation request page:Validate disputation request->Validate disputation request:Disputation request success page,View Bill,TRAN_NA,8,7,NaN,undefined,NaN
5,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Unbilled Transactions->Unbilled Transactions:Redeem coupon,View Bill,TRAN_NA,7,6,NaN,undefined,NaN
6,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Unbilled Transactions->Unbilled Transactions:Display unbilled transactions->Display unbilled transactions:Bills view page->Bills view page:Display bills,View Bill,TRAN_NA,9,8,NaN,undefined,NaN
7,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Unbilled Transactions->Unbilled Transactions:Display unbilled transactions->Display unbilled transactions:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Make payment,View Bill,TRAN_NA,11,10,NaN,undefined,NaN
8,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Unbilled Transactions->Unbilled Transactions:Display unbilled transactions->Display unbilled transactions:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Dispute bill->Dispute bill:Subscription,View Bill,TRAN_NA,12,11,NaN,undefined,NaN
9,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Unbilled Transactions->Unbilled Transactions:Display unbilled transactions->Display unbilled transactions:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Dispute bill->Dispute bill:Disputation request page->Disputation request page:Submit disputation request->Submit disputation request:Validate disputation request->Validate disputation request:Disputation request success page,View Bill,TRAN_NA,15,14,NaN,undefined,NaN
10,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Unbilled Transactions->Unbilled Transactions:Display unbilled transactions->Display unbilled transactions:Bills view page->Bills view page:View Bill Details->View Bill Details:Bill Detail Page->Bill Detail Page:Dispute bill->Dispute bill:Disputation request page->Disputation request page:Validate disputation request->Validate disputation request:Disputation request success page,View Bill,TRAN_NA,14,13,NaN,undefined,NaN
11,stl#Business Partner:Bills view page->Business Partner:Bills view page->Bills view page:Display bills->Display bills:Bills->Bills:Post bills->Post bills:Partneer subscriptions,View Bill,TRAN_NA,6,5,NaN,undefined,NaN
