id,element,useCase,type,outboundDegree,inboundDegree
1,Add Server:Publish offer,Contact us,0,undefined,undefined
2,Partner:Home page,Contact us,0,undefined,undefined
3,Partner:successfully submitted page,Contact us,0,undefined,undefined
4,Partner:ContactUs page,Contact us,0,undefined,undefined
5,Partner:Not found page,Contact us,0,undefined,undefined
6,Display customer complain notification:Admin gets the message,Contact us,0,undefined,undefined
7,Contact Admin:Customer complain Notification,Contact us,0,undefined,undefined
8,Contact Admin:Display customer complain notification,Contact us,0,undefined,undefined
9,Successfully submitted:Contact Admin,Contact us,0,undefined,undefined
10,Publish offer:Contact Admin,Contact us,0,undefined,undefined
11,ContactUs page:Validate,Contact us,0,undefined,undefined
12,Display contact us page:ContactUs page,Contact us,0,undefined,undefined
13,Display:ContactUs page,Contact us,0,undefined,undefined
14,Validate:Customer,Contact us,0,undefined,undefined
15,Validate:Display,Contact us,0,undefined,undefined
16,Home page:Display contact us page,Contact us,0,undefined,undefined
17,Display not found page:Not found page,Contact us,0,undefined,undefined
18,Validate:Display not found page,Contact us,0,undefined,undefined
19,Display successful submitted page:successfully submitted page,Contact us,0,undefined,undefined
20,Successfully submitted:Display successful submitted page,Contact us,0,undefined,undefined
21,Validate:E-coupon,Contact us,0,undefined,undefined
22,Successfully submitted:Publish offer,Contact us,0,undefined,undefined
23,Validate:Successfully submitted,Contact us,0,undefined,undefined
24,stl#Add Server:Publish offer,Contact us,0,undefined,undefined
25,stl#Partner:Home page,Contact us,0,undefined,undefined
26,stl#Partner:successfully submitted page,Contact us,0,undefined,undefined
27,stl#Partner:ContactUs page,Contact us,0,undefined,undefined
28,stl#Partner:Not found page,Contact us,0,undefined,undefined
