id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Traveler:Management subscription page->Traveler:Management subscription page->Management subscription page:subscription controller->subscription controller:subscription failed,Subscribe and unsubscribe from partner offer,4,2,1,0,0
2,stl#Traveler:Management subscription page->Traveler:Management subscription page->Management subscription page:subscription controller->subscription controller:subscription success,Subscribe and unsubscribe from partner offer,4,2,1,0,0
3,stl#Traveler:Management subscription page->Traveler:Management subscription page->Management subscription page:subscription controller->subscription controller:Offer,Subscribe and unsubscribe from partner offer,4,1,1,1,0
4,stl#Traveler:Management subscription page->Traveler:Management subscription page->Management subscription page:subscription controller->subscription controller:Display partner info->Display partner info:Retrieve partner info->Retrieve partner info:Offer,Subscribe and unsubscribe from partner offer,6,1,2,2,0
5,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:subscription controller->subscription controller:subscription failed,Subscribe and unsubscribe from partner offer,4,1,1,1,0
6,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:subscription controller->subscription controller:subscription success,Subscribe and unsubscribe from partner offer,4,1,1,1,0
7,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:subscription controller->subscription controller:Offer,Subscribe and unsubscribe from partner offer,4,0,1,2,0
8,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:subscription controller->subscription controller:Display partner info->Display partner info:Retrieve partner info->Retrieve partner info:Offer,Subscribe and unsubscribe from partner offer,6,0,2,3,0
9,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:click "popular"->click "popular":Sort coupon list->Sort coupon list:Retrieve coupon list->Retrieve coupon list:Coupon Info,Subscribe and unsubscribe from partner offer,6,0,4,1,0
10,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:Sort coupon list->Sort coupon list:Retrieve coupon list->Retrieve coupon list:Coupon Info,Subscribe and unsubscribe from partner offer,5,0,3,1,0
11,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:Search coupon->Search coupon:Return search results->Return search results:Coupon Info,Subscribe and unsubscribe from partner offer,5,0,3,1,0
12,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:Click back->Click back:Management subscription page->Management subscription page:subscription controller->subscription controller:subscription failed,Subscribe and unsubscribe from partner offer,6,2,2,1,0
13,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:Click back->Click back:Management subscription page->Management subscription page:subscription controller->subscription controller:subscription success,Subscribe and unsubscribe from partner offer,6,2,2,1,0
14,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:Click back->Click back:Management subscription page->Management subscription page:subscription controller->subscription controller:Offer,Subscribe and unsubscribe from partner offer,6,1,2,2,0
15,stl#Traveler:partner offer page->Traveler:partner offer page->partner offer page:Click back->Click back:Management subscription page->Management subscription page:subscription controller->subscription controller:Display partner info->Display partner info:Retrieve partner info->Retrieve partner info:Offer,Subscribe and unsubscribe from partner offer,8,1,3,3,0
