id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,5,4,4.5,4,22.5
2,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,6,5,8.666666666666666,3,52
3,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info,View Partner Billing status storyboard,TRAN_NA,7,6,5.75,4,40.25
4,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen,View Partner Billing status storyboard,TRAN_NA,9,8,10,4,90
5,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,9,8,10,4,90
6,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,10,9,12,4,120
7,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Transaction Log,View Partner Billing status storyboard,TRAN_NA,4,3,4,2,16
8,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner data,View Partner Billing status storyboard,TRAN_NA,4,3,3.6666666666666665,3,14.666666666666666
9,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner Info,View Partner Billing status storyboard,TRAN_NA,4,3,3.6666666666666665,3,14.666666666666666
10,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,5,4,7.333333333333333,3,36.666666666666664
11,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,6,5,15,2,90
12,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Display search result,View Partner Billing status storyboard,TRAN_NA,7,6,10.333333333333334,3,72.33333333333334
13,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display redemption statistics screen,View Partner Billing status storyboard,TRAN_NA,9,8,10,4,90
14,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Partner data,View Partner Billing status storyboard,TRAN_NA,9,8,10,4,90
15,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Search->Search:Display search result->Display search result:Search result page,View Partner Billing status storyboard,TRAN_NA,10,9,12,4,120
16,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Transaction Log,View Partner Billing status storyboard,TRAN_NA,8,7,7.5,4,60
17,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner data,View Partner Billing status storyboard,TRAN_NA,8,7,8.25,4,66
18,stl#Administrator:Billstatus page->Administrator:Billstatus page->Billstatus page:Display search result->Display search result:Search->Search:Display redemption statistics screen->Display redemption statistics screen:Billstatus page->Billstatus page:Query Transaction Log and Partner Info->Query Transaction Log and Partner Info:Partner Info,View Partner Billing status storyboard,TRAN_NA,8,7,8.25,4,66
