id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:Travel Plan Page,Annotate trip plan,0,undefined,undefined
2,Annotation:Checking existing,Annotate trip plan,0,undefined,undefined
3,Checking existing:Annotation,Annotate trip plan,0,undefined,undefined
4,Display:Annotation,Annotate trip plan,0,undefined,undefined
5,Annotation create/update page:Edit comment,Annotate trip plan,0,undefined,undefined
6,Annotation create/update page:Display,Annotate trip plan,0,undefined,undefined
7,Annotation create/update page:Upload more photos,Annotate trip plan,0,undefined,undefined
8,Annotation create/update page:Delete Photos,Annotate trip plan,0,undefined,undefined
9,Checking existing:Annotation create/update page,Annotate trip plan,0,undefined,undefined
10,Click update annotation:Annotation create/update page,Annotate trip plan,0,undefined,undefined
11,Annotation page:Click print button,Annotate trip plan,0,undefined,undefined
12,Annotation page:Click update annotation,Annotate trip plan,0,undefined,undefined
13,Checking existing:Annotation page,Annotate trip plan,0,undefined,undefined
14,Display:Annotation page,Annotate trip plan,0,undefined,undefined
15,Check the number of photos:Upload more photos,Annotate trip plan,0,undefined,undefined
16,Check the number of photos:Pop-up Alert,Annotate trip plan,0,undefined,undefined
17,Photos:Check the number of photos,Annotate trip plan,0,undefined,undefined
18,Travel Plan Page:Checking existing,Annotate trip plan,0,undefined,undefined
19,Click print button:Print page,Annotate trip plan,0,undefined,undefined
20,Comment:Display,Annotate trip plan,0,undefined,undefined
21,Edit comment:Comment,Annotate trip plan,0,undefined,undefined
22,Display:Comment,Annotate trip plan,0,undefined,undefined
23,Delete Photos:Photos,Annotate trip plan,0,undefined,undefined
24,Display:Display,Annotate trip plan,0,undefined,undefined
25,Upload more photos:Photos,Annotate trip plan,0,undefined,undefined
26,stl#Traveler:Travel Plan Page,Annotate trip plan,0,undefined,undefined
