id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:Transaction Log Page,View Transaction Log,0,undefined,undefined
2,Direct to modify:Dispute Redemption Page,View Transaction Log,0,undefined,undefined
3,Direct to modify:Transaction DB,View Transaction Log,0,undefined,undefined
4,Display transactions:Direct to modify,View Transaction Log,0,undefined,undefined
5,Display connection error message:Partner Info,View Transaction Log,0,undefined,undefined
6,Display connection error message:System message page,View Transaction Log,0,undefined,undefined
7,Display transactions:Display connection error message,View Transaction Log,0,undefined,undefined
8,Transaction Log Page:Display connection error message,View Transaction Log,0,undefined,undefined
9,Display no transactions message:System message page,View Transaction Log,0,undefined,undefined
10,Display transactions:Display no transactions message,View Transaction Log,0,undefined,undefined
11,Display pritner failure message:System message page,View Transaction Log,0,undefined,undefined
12,Display transactions:Display pritner failure message,View Transaction Log,0,undefined,undefined
13,Display transactions:Retrieve and print,View Transaction Log,0,undefined,undefined
14,Display transactions:Partner List,View Transaction Log,0,undefined,undefined
15,Display transactions:Retrieve selected transactions,View Transaction Log,0,undefined,undefined
16,Display transactions:Retrieve transactions,View Transaction Log,0,undefined,undefined
17,Transaction Log Page:Display transactions,View Transaction Log,0,undefined,undefined
18,Retrieve and print:Transaction DB,View Transaction Log,0,undefined,undefined
19,Retrieve selected transactions:Transaction DB,View Transaction Log,0,undefined,undefined
20,Retrieve transactions:Transaction DB,View Transaction Log,0,undefined,undefined
21,stl#Administrator:Transaction Log Page,View Transaction Log,0,undefined,undefined
