id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#App user:Signup Screen->App user:Signup Screen->Signup Screen:check first time user->check first time user:Video record screen,App user login,4,3,0,0,0
2,stl#App user:Signup Screen->App user:Signup Screen->Signup Screen:check first time user->check first time user:Query for first time users->Query for first time users:Account collection,App user login,5,3,0,1,0
3,stl#App user:Registered user popup->App user:Registered user popup->Registered user popup:Registered user alert->Registered user alert:Query for first time users->Query for first time users:Account collection,App user login,5,3,0,1,0
4,stl#App user:display failure message->App user:display failure message,App user login,2,0,1,0,0
5,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Extract LP#->Extract LP#:emergency alert->emergency alert:return LP# and image->return LP# and image:Video,Capture Frame from Video and get  LP number,6,0,4,1,0
6,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Display video with media controls->Display video with media controls:video,Capture Frame from Video and get  LP number,4,0,3,0,0
7,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Display video with media controls->Display video with media controls:Display emergency alert web form,Capture Frame from Video and get  LP number,4,0,2,1,0
8,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Describe LP# in editable field->Describe LP# in editable field:emergency alert->emergency alert:return LP# and image->return LP# and image:Video,Capture Frame from Video and get  LP number,6,0,4,1,0
9,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Zoom and crop functionality->Zoom and crop functionality:emergency alert->emergency alert:return LP# and image->return LP# and image:Video,Capture Frame from Video and get  LP number,6,0,3,2,0
10,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Zoom and crop functionality->Zoom and crop functionality:Display cropped image,Capture Frame from Video and get  LP number,4,0,2,1,0
11,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Displlay captured frame,Capture Frame from Video and get  LP number,3,0,2,0,0
12,stl#Report Poster:Capture frame from video and extract LP#->Report Poster:Capture frame from video and extract LP#->Capture frame from video and extract LP#:Cancel report->Cancel report:Email client,Capture Frame from Video and get  LP number,4,1,2,0,0
13,stl#Report Poster:Bad driver reporting screen->Report Poster:Bad driver reporting screen->Bad driver reporting screen:Display video with media controls->Display video with media controls:video,Capture Frame from Video and get  LP number,4,1,2,0,0
14,stl#Report Poster:Bad driver reporting screen->Report Poster:Bad driver reporting screen->Bad driver reporting screen:Display video with media controls->Display video with media controls:Display emergency alert web form,Capture Frame from Video and get  LP number,4,1,1,1,0
15,stl#Independent Reviewer:Invalid user popup->Independent Reviewer:Invalid user popup->Invalid user popup:Invalid user alert->Invalid user alert:Query for valid users,Independent Review of Bad Driver Report,4,2,0,1,0
16,stl#Independent Reviewer:Invalid user popup->Independent Reviewer:Invalid user popup->Invalid user popup:Display alert->Display alert:Query for potential duplicates->Query for potential duplicates:Query for valid users,Independent Review of Bad Driver Report,5,3,1,0,0
