id,element,useCase,type,outboundDegree,inboundDegree
1,Report Poster:Enter License Plate# Screen,Send Drunk Driver Alert,0,undefined,undefined
2,Report Poster:Bad driver reporting screen,Send Drunk Driver Alert,0,undefined,undefined
3,Bad driver reporting screen:Record hazardous videos and Call 911,Send Drunk Driver Alert,0,undefined,undefined
4,Cancel report:Email client,Send Drunk Driver Alert,0,undefined,undefined
5,Enter License Plate# Screen:Cancel report,Send Drunk Driver Alert,0,undefined,undefined
6,Describe incident:emergency alert,Send Drunk Driver Alert,0,undefined,undefined
7,Describe incident:Video,Send Drunk Driver Alert,0,undefined,undefined
8,Enter License Plate# Screen:Describe incident,Send Drunk Driver Alert,0,undefined,undefined
9,Describe vehicle details:emergency alert,Send Drunk Driver Alert,0,undefined,undefined
10,Enter License Plate# Screen:Describe vehicle details,Send Drunk Driver Alert,0,undefined,undefined
11,Describe vehicle details:emergency alert,Send Drunk Driver Alert,0,undefined,undefined
12,Enter License Plate# Screen:Describe vehicle details,Send Drunk Driver Alert,0,undefined,undefined
13,Record hazardous videos and Call 911:Display emergency alert web form,Send Drunk Driver Alert,0,undefined,undefined
14,Enter License Plate# Screen:Post report,Send Drunk Driver Alert,0,undefined,undefined
15,Enter License Plate# Screen:Enter name and phone number,Send Drunk Driver Alert,0,undefined,undefined
16,Enter License Plate# Screen:Record hazardous videos and Call 911,Send Drunk Driver Alert,0,undefined,undefined
17,fill video metadata in non-editable fields:Enter License Plate# Screen,Send Drunk Driver Alert,0,undefined,undefined
18,Upload the video:Enter License Plate# Screen,Send Drunk Driver Alert,0,undefined,undefined
19,Enter name and phone number:emergency alert,Send Drunk Driver Alert,0,undefined,undefined
20,Post report:get time date location from video metadata,Send Drunk Driver Alert,0,undefined,undefined
21,Video:Record hazardous videos and Call 911,Send Drunk Driver Alert,0,undefined,undefined
22,Upload the video:Video,Send Drunk Driver Alert,0,undefined,undefined
23,get time date location from video metadata:Video,Send Drunk Driver Alert,0,undefined,undefined
24,emergency alert:get time date location from video metadata,Send Drunk Driver Alert,0,undefined,undefined
25,fill video metadata in non-editable fields:get time date location from video metadata,Send Drunk Driver Alert,0,undefined,undefined
26,stl#Report Poster:Enter License Plate# Screen,Send Drunk Driver Alert,0,undefined,undefined
27,stl#Report Poster:Bad driver reporting screen,Send Drunk Driver Alert,0,undefined,undefined
