id,element,useCase,type,outboundDegree,inboundDegree
1,App user:Email client,Upload video clip to bad driver recording DB,0,undefined,undefined
2,App user:display success message,Upload video clip to bad driver recording DB,0,undefined,undefined
3,App user:display failure message,Upload video clip to bad driver recording DB,0,undefined,undefined
4,App user:Mobile app,Upload video clip to bad driver recording DB,0,undefined,undefined
5,App user:Bad driver reporting screen,Upload video clip to bad driver recording DB,0,undefined,undefined
6,Bad driver reporting screen:display success message,Upload video clip to bad driver recording DB,0,undefined,undefined
7,Blank fields popup:display success message,Upload video clip to bad driver recording DB,0,undefined,undefined
8,Email client:display failure message,Upload video clip to bad driver recording DB,0,undefined,undefined
9,Mobile app:send request with video file,Upload video clip to bad driver recording DB,0,undefined,undefined
10,receive file at node.js:Video,Upload video clip to bad driver recording DB,0,undefined,undefined
11,receive response:display failure message,Upload video clip to bad driver recording DB,0,undefined,undefined
12,receive response:display success message,Upload video clip to bad driver recording DB,0,undefined,undefined
13,receive response:receive file at node.js,Upload video clip to bad driver recording DB,0,undefined,undefined
14,send request with video file:receive file at node.js,Upload video clip to bad driver recording DB,0,undefined,undefined
15,stl#App user:Email client,Upload video clip to bad driver recording DB,0,undefined,undefined
16,stl#App user:display success message,Upload video clip to bad driver recording DB,0,undefined,undefined
17,stl#App user:display failure message,Upload video clip to bad driver recording DB,0,undefined,undefined
18,stl#App user:Mobile app,Upload video clip to bad driver recording DB,0,undefined,undefined
19,stl#App user:Bad driver reporting screen,Upload video clip to bad driver recording DB,0,undefined,undefined
