id,element,useCase,type,outboundDegree,inboundDegree
1,User:Army Men,Increase difficulty ,0,undefined,undefined
2,Algorithm:Make Difficult to hit,Increase difficulty ,0,undefined,undefined
3,Algorithm:Increase Number of spawn,Increase difficulty ,0,undefined,undefined
4,Algorithm:Time Elapsed,Increase difficulty ,0,undefined,undefined
5,Algorithm:Get level,Increase difficulty ,0,undefined,undefined
6,Algorithm:Get Number of tikimen killed in that round,Increase difficulty ,0,undefined,undefined
7,Increase Speed:Algorithm,Increase difficulty ,0,undefined,undefined
8,Army Men:Increase Number of spawn,Increase difficulty ,0,undefined,undefined
9,Army Men:Increase Speed,Increase difficulty ,0,undefined,undefined
10,Make Difficult to hit:Army Men,Increase difficulty ,0,undefined,undefined
11,Get level:User Account,Increase difficulty ,0,undefined,undefined
12,stl#User:Army Men,Increase difficulty ,0,undefined,undefined
