id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#HorizontallySwipeableLayout_onTouch->HorizontallySwipeableLayout_onTouch,src,CTRL,2,6,NaN,undefined,NaN
2,stl#AppsLayoutPageAdapter_onClick->AppsLayoutPageAdapter_onClick->AppInfo_isEmpty,src,CTRL,3,4,NaN,undefined,NaN
3,stl#AppsLayoutPageAdapter_onClick->AppsLayoutPageAdapter_onClick,src,CTRL,2,3,NaN,undefined,NaN
4,stl#AppsPage_onLongClick->AppsPage_onLongClick,src,CTRL,2,1,NaN,undefined,NaN
5,stl#SystemAppsDBHelper_onCreate->SystemAppsDBHelper_onCreate,src,CTRL,2,1,NaN,undefined,NaN
6,stl#AppPagesManager_onReceive->AppPagesManager_onReceive->AppsLayoutDBHelper_upgrade,src,CTRL,3,3,NaN,undefined,NaN
7,stl#AllTheAppsActivity_onStop->AllTheAppsActivity_onStop,src,CTRL,2,2,NaN,undefined,NaN
8,stl#AllTheAppsActivity_onStart->AllTheAppsActivity_onStart->AppsPanel_reloadPages->AppsPanel_setPageDisplayed->AppsPageScroller_setPageDisplayed->AppsPageScroller_getTotalPages->AppsPageScroller_getGravity->AppsPageScroller_setCurrentlyDisplayed->AppsPageScroller_requestPageLayout->AppPagesManager_getCurrentlyDisplayed,src,CTRL,10,13,NaN,undefined,NaN
9,stl#AllTheAppsActivity_onPause->AllTheAppsActivity_onPause->AppPagesManager_store,src,CTRL,3,4,NaN,undefined,NaN
10,stl#AllTheAppsActivity_onResume->AllTheAppsActivity_onResume->AppsPanel_reloadPages->AppsPanel_setPageDisplayed->AppsPageScroller_setPageDisplayed->AppsPageScroller_getTotalPages->AppsPageScroller_getGravity->AppsPageScroller_setCurrentlyDisplayed->AppsPageScroller_requestPageLayout->AppPagesManager_getCurrentlyDisplayed,src,CTRL,10,13,NaN,undefined,NaN
11,stl#AllTheAppsActivity_onCreateOptionsMenu->AllTheAppsActivity_onCreateOptionsMenu,src,CTRL,2,2,NaN,undefined,NaN
12,stl#AllTheAppsActivity_onCreate->AllTheAppsActivity_onCreate->AppPagesManager_AppPagesManager->AppsPanel_reloadPages->AppsPanel_setPageDisplayed->AppsPageScroller_setPageDisplayed->AppsPageScroller_getTotalPages->AppsPageScroller_getGravity->AppsPageScroller_setCurrentlyDisplayed->AppsPageScroller_requestPageLayout->AppPagesManager_getCurrentlyDisplayed,src,CTRL,11,15,NaN,undefined,NaN
13,stl#AllTheAppsLayout_onTouchEvent->AllTheAppsLayout_onTouchEvent->AppsPanel_stopShrinkedMode->AppsPageScroller_stopShrinkedMode->PageIndicator_setActiveColor->PageIndicator_setInactiveColor->AllTheAppsLayout_releaseFloatView->AppsPanel_stopShrinkedMode,src,CTRL,8,13,NaN,undefined,NaN
14,stl#AllTheAppsLayout_onTouchEvent->AllTheAppsLayout_onTouchEvent->AppsPanel_stopShrinkedMode->AppsPageScroller_stopShrinkedMode->PageIndicator_setActiveColor->PageIndicator_setInactiveColor->AllTheAppsLayout_releaseFloatView->AllTheAppsLayout_releaseFloatView,src,CTRL,8,14,NaN,undefined,NaN
