id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,AllTheAppsLayout,2,4,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,PageIndicator,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,AppsPage,0,2,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,AppPagesManager,1,1,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,AllTheAppsActivity,1,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,AppsLayoutPageAdapter,2,16,0,0,1,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,AppsLayoutDBHelper,0,4,0,0,2,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,SystemAppsDBHelper,0,3,0,0,1,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,AppsPanel,1,3,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,AppsPageScroller,0,4,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,AppInfo,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,HorizontallySwipeableLayout,5,6,0,0,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
