id,element,useCase,type,outboundDegree,inboundDegree
1,AllTheAppsLayout_onTouchEvent,src,0,undefined,undefined
2,AllTheAppsLayout_onReceive,src,0,undefined,undefined
3,SystemAppsDBHelper_onCreate,src,0,undefined,undefined
4,AppsArrayPageAdapter_onLongClick,src,0,undefined,undefined
5,AppInfoView_onClick,src,0,undefined,undefined
6,AppInfoView_onClick,src,0,undefined,undefined
7,HorizontallySwipeDetector_onTouch,src,0,undefined,undefined
8,ArtistAlbumBrowserActivity_onCreate,src,0,undefined,undefined
9,ArtistAlbumBrowserActivity_onResume,src,0,undefined,undefined
10,ArtistAlbumBrowserActivity_onPause,src,0,undefined,undefined
11,ArtistAlbumBrowserActivity_onCreateOptionsMenu,src,0,undefined,undefined
12,ArtistAlbumBrowserActivity_onCreateContextMenu,src,0,undefined,undefined
13,ArtistAlbumBrowserActivity_onActivityResult,src,0,undefined,undefined
14,QueryBrowserActivity_onCreate,src,0,undefined,undefined
15,QueryBrowserActivity_onPause,src,0,undefined,undefined
16,QueryBrowserActivity_onActivityResult,src,0,undefined,undefined
17,TrackBrowserActivity_onCreate,src,0,undefined,undefined
18,TrackBrowserActivity_onResume,src,0,undefined,undefined
19,TrackBrowserActivity_onPause,src,0,undefined,undefined
20,TrackBrowserActivity_onCreateContextMenu,src,0,undefined,undefined
21,TrackBrowserActivity_onCreateOptionsMenu,src,0,undefined,undefined
22,TrackBrowserActivity_onActivityResult,src,0,undefined,undefined
23,WeekSelector_onClick,src,0,undefined,undefined
24,WeekSelector_onCreate,src,0,undefined,undefined
25,WeekSelector_onResume,src,0,undefined,undefined
26,AlbumBrowserActivity_onCreate,src,0,undefined,undefined
27,AlbumBrowserActivity_onResume,src,0,undefined,undefined
28,AlbumBrowserActivity_onPause,src,0,undefined,undefined
29,AlbumBrowserActivity_onCreateContextMenu,src,0,undefined,undefined
30,AlbumBrowserActivity_onActivityResult,src,0,undefined,undefined
31,AlbumBrowserActivity_onCreateOptionsMenu,src,0,undefined,undefined
32,NotificationRowLayout_onCreate,src,0,undefined,undefined
33,NotificationRowLayout_onCreateOptionsMenu,src,0,undefined,undefined
34,NotificationRowLayout_onKeyDown,src,0,undefined,undefined
35,LoadAverageService_onCreate,src,0,undefined,undefined
36,LoadAverageService_onResume,src,0,undefined,undefined
37,LoadAverageService_onPause,src,0,undefined,undefined
38,LoadAverageService_onCreateOptionsMenu,src,0,undefined,undefined
39,LoadAverageService_onCreateContextMenu,src,0,undefined,undefined
40,LoadAverageService_onActivityResult,src,0,undefined,undefined
41,MediaAppWidgetProvider_onCreate,src,0,undefined,undefined
42,MediaAppWidgetProvider_onStartCommand,src,0,undefined,undefined
43,DessertCaseDream_onCreate,src,0,undefined,undefined
44,DessertCaseDream_onTouch,src,0,undefined,undefined
45,DessertCaseDream_onLongClick,src,0,undefined,undefined
46,DessertCaseDream_onStop,src,0,undefined,undefined
47,DessertCaseDream_onStart,src,0,undefined,undefined
48,DessertCaseDream_onResume,src,0,undefined,undefined
49,DessertCaseDream_onCreateOptionsMenu,src,0,undefined,undefined
50,DessertCaseDream_onActivityResult,src,0,undefined,undefined
51,DessertCaseDream_onKeyUp,src,0,undefined,undefined
52,DessertCaseDream_onKeyDown,src,0,undefined,undefined
53,DelegateViewHelper_onAnimationStarted,src,0,undefined,undefined
54,DelegateViewHelper_,src,0,undefined,undefined
55,DelegateViewHelper_onTouchEvent,src,0,undefined,undefined
56,SwipeHelper_onTouchEvent,src,0,undefined,undefined
57,LoadAverageService_onCreate,src,0,undefined,undefined
58,SystemUIService_onCreate,src,0,undefined,undefined
59,ImageWallpaper_onCreate,src,0,undefined,undefined
60,ImageWallpaper_onCreateEngine,src,0,undefined,undefined
61,ImageWallpaper_DrawableEngine,src,0,undefined,undefined
62,DessertCaseDream_onStart,src,0,undefined,undefined
63,DessertCaseDream_setView,src,0,undefined,undefined
64,DessertCaseDream_onResume,src,0,undefined,undefined
65,DessertCaseDream_,src,0,undefined,undefined
66,DessertCaseDream_onPause,src,0,undefined,undefined
67,DessertCaseDream_stop,src,0,undefined,undefined
68,DessertCaseDream_onAnimationStart,src,0,undefined,undefined
69,ExpandHelper_onAnimationStart,src,0,undefined,undefined
70,ExpandHelper_onTouchEvent,src,0,undefined,undefined
71,ExpandHelper_finishExpanding,src,0,undefined,undefined
72,ExpandHelper_setGlow,src,0,undefined,undefined
73,ExpandHelper_clearView,src,0,undefined,undefined
74,ExpandHelper_onClick,src,0,undefined,undefined
75,RecentsActivity_onAnimationStart,src,0,undefined,undefined
76,RecentsActivity_onWindowAnimationStart,src,0,undefined,undefined
77,RecentsActivity_animateInIconOfFirstTask,src,0,undefined,undefined
78,RecentsActivity_isFirstScreenful,src,0,undefined,undefined
79,RecentsActivity_onItemClick,src,0,undefined,undefined
80,RecentsActivity_onMenuItemClick,src,0,undefined,undefined
81,RecentsVerticalScrollView_onTouchEvent,src,0,undefined,undefined
82,RecentsActivity_onPause,src,0,undefined,undefined
83,RecentsActivity_onStop,src,0,undefined,undefined
84,RecentsActivity_onStart,src,0,undefined,undefined
85,RecentsActivity_onResume,src,0,undefined,undefined
86,RecentsActivity_onCreate,src,0,undefined,undefined
87,RecentsActivity_TouchOutsideListener,src,0,undefined,undefined
88,RecentsActivity_setRecentsPanel,src,0,undefined,undefined
89,RecentsActivity_setMinSwipeAlpha,src,0,undefined,undefined
90,RecentsActivity_onTouch,src,0,undefined,undefined
91,RecentsVerticalScrollView_onTouchEvent,src,0,undefined,undefined
92,SaveImageInBackgroundTask_onTouch,src,0,undefined,undefined
93,SaveImageInBackgroundTask_onAnimationStart,src,0,undefined,undefined
94,BrightnessDialog_onCreate,src,0,undefined,undefined
95,BrightnessDialog_onStart,src,0,undefined,undefined
