id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
1,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information,Edit user,TRAN_NA,9,0,7.5,67.5
2,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Edit user,TRAN_NA,5,0,6.25,31.25
3,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:Case,Edit user,TRAN_NA,5,0,6,30
4,stl#Administrator:user edit page->Administrator:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Edit user,TRAN_NA,4,0,5.333333333333333,21.333333333333332
5,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Edit user,TRAN_NA,13,0,6.333333333333333,82.33333333333333
6,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Edit user,TRAN_NA,11,0,5.5,60.5
7,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:Case,Edit user,TRAN_NA,11,0,5.4,59.400000000000006
8,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Edit user,TRAN_NA,10,0,5.111111111111111,51.11111111111111
9,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:user management page->user management page:query user information->query user information:User,Edit user,TRAN_NA,6,0,3.6,21.6
10,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:unauthorized error message,Edit user,TRAN_NA,4,0,2,8
11,stl#Administrator:User Management Button->Administrator:User Management Button->User Management Button:validate role of user->validate role of user:role,Edit user,TRAN_NA,4,0,1.6666666666666667,6.666666666666667
12,stl#Administrator:invalid input information error->Administrator:invalid input information error,Edit user,CTRL,2,0,2,4
13,stl#Administrator:invalid input information error->Administrator:invalid input information error,Edit user,EXTCLL,2,0,2,4
14,stl#Administrator:invalid input information error->Administrator:invalid input information error,Edit user,INT,2,0,2,4
15,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Edit user,TRAN_NA,9,0,7.5,67.5
16,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Edit user,TRAN_NA,7,0,6.5,45.5
17,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:Case,Edit user,TRAN_NA,7,0,6.333333333333333,44.33333333333333
18,stl#Administrator:user information page->Administrator:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Edit user,TRAN_NA,6,0,6,36
19,stl#Administrator:unauthorized error message->Administrator:unauthorized error message,Edit user,CTRL,2,0,2,4
20,stl#Administrator:user management page->Administrator:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:display user information->display user information:user information page->user information page:display user edit page,Edit user,TRAN_NA,11,0,7.2,79.2
21,stl#Administrator:user management page->Administrator:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:User,Edit user,TRAN_NA,9,0,6.375,57.375
22,stl#Administrator:user management page->Administrator:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:save input user information->save input user information:Case,Edit user,TRAN_NA,9,0,6.25,56.25
23,stl#Administrator:user management page->Administrator:user management page->user management page:query user information->query user information:user information page->user information page:display user edit page->display user edit page:user edit page->user edit page:validate input user information->validate input user information:invalid input information error,Edit user,TRAN_NA,8,0,6,48
24,stl#Administrator:user management page->Administrator:user management page->user management page:query user information->query user information:User,Edit user,TRAN_NA,4,0,4.666666666666667,18.666666666666668
