id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:User management button,Activate user,0,undefined,undefined
2,Administrator:activation success message,Activate user,0,undefined,undefined
3,Administrator:invalid input information error,Activate user,0,undefined,undefined
4,Administrator:user is already activated error,Activate user,0,undefined,undefined
5,Administrator:unauthorized error message,Activate user,0,undefined,undefined
6,Administrator:user information page,Activate user,0,undefined,undefined
7,Administrator:user management page,Activate user,0,undefined,undefined
8,Administrator:user edit page,Activate user,0,undefined,undefined
9,activtate the user:User,Activate user,0,undefined,undefined
10,save input user information:User,Activate user,0,undefined,undefined
11,User management button:validate role of user,Activate user,0,undefined,undefined
12,activtate the user:activation success message,Activate user,0,undefined,undefined
13,check the status of user:activtate the user,Activate user,0,undefined,undefined
14,check the status of user:user information page,Activate user,0,undefined,undefined
15,check the status of user:user is already activated error,Activate user,0,undefined,undefined
16,user management page:check the status of user,Activate user,0,undefined,undefined
17,display user edit page:user edit page,Activate user,0,undefined,undefined
18,user information page:display user edit page,Activate user,0,undefined,undefined
19,display user information:user information page,Activate user,0,undefined,undefined
20,save input user information:display user information,Activate user,0,undefined,undefined
21,validate input user information:invalid input information error,Activate user,0,undefined,undefined
22,validate role of user:role,Activate user,0,undefined,undefined
23,validate input user information:save input user information,Activate user,0,undefined,undefined
24,validate role of user:unauthorized error message,Activate user,0,undefined,undefined
25,user edit page:validate input user information,Activate user,0,undefined,undefined
26,validate role of user:user management page,Activate user,0,undefined,undefined
27,stl#Administrator:User management button,Activate user,0,undefined,undefined
28,stl#Administrator:activation success message,Activate user,0,undefined,undefined
29,stl#Administrator:invalid input information error,Activate user,0,undefined,undefined
30,stl#Administrator:user is already activated error,Activate user,0,undefined,undefined
31,stl#Administrator:unauthorized error message,Activate user,0,undefined,undefined
32,stl#Administrator:user information page,Activate user,0,undefined,undefined
33,stl#Administrator:user management page,Activate user,0,undefined,undefined
34,stl#Administrator:user edit page,Activate user,0,undefined,undefined
35,Administrator:case information page,Check case information,0,undefined,undefined
36,Administrator:document list,Check case information,0,undefined,undefined
37,Administrator:unauthorized request message,Check case information,0,undefined,undefined
38,Administrator:unauthorized request,Check case information,0,undefined,undefined
39,Administrator:document list,Check case information,0,undefined,undefined
40,Administrator:unauthorized request message,Check case information,0,undefined,undefined
41,Administrator:case information page,Check case information,0,undefined,undefined
42,Case Manager:unauthorized request,Check case information,0,undefined,undefined
43,Case Manager:case information page,Check case information,0,undefined,undefined
44,Case Manager:document list,Check case information,0,undefined,undefined
45,Case Manager:unauthorized request message,Check case information,0,undefined,undefined
46,General staff:document list,Check case information,0,undefined,undefined
47,General staff:unauthorized request message,Check case information,0,undefined,undefined
48,General staff:case information page,Check case information,0,undefined,undefined
49,Youth:case information page,Check case information,0,undefined,undefined
50,Youth:unauthorized request message,Check case information,0,undefined,undefined
51,Youth:unauthorized request,Check case information,0,undefined,undefined
52,Youth:document list,Check case information,0,undefined,undefined
53,Validate print/download request:role,Check case information,0,undefined,undefined
54,Validate print/download request:unauthorized request,Check case information,0,undefined,undefined
55,Validate print/download request:print,Check case information,0,undefined,undefined
56,Validate print/download request:download,Check case information,0,undefined,undefined
57,case information page:Validate print/download request,Check case information,0,undefined,undefined
58,display case information page:case information,Check case information,0,undefined,undefined
59,display case information page:case information page,Check case information,0,undefined,undefined
60,verify the role of the user:display case information page,Check case information,0,undefined,undefined
61,document list:verify the role of the user,Check case information,0,undefined,undefined
62,verify the role of the user:role,Check case information,0,undefined,undefined
63,verify the role of the user:unauthorized request message,Check case information,0,undefined,undefined
64,stl#Administrator:case information page,Check case information,0,undefined,undefined
65,stl#Administrator:document list,Check case information,0,undefined,undefined
66,stl#Administrator:unauthorized request message,Check case information,0,undefined,undefined
67,stl#Administrator:unauthorized request,Check case information,0,undefined,undefined
68,stl#Administrator:document list,Check case information,0,undefined,undefined
69,stl#Administrator:unauthorized request message,Check case information,0,undefined,undefined
70,stl#Administrator:case information page,Check case information,0,undefined,undefined
71,stl#Case Manager:unauthorized request,Check case information,0,undefined,undefined
72,stl#Case Manager:case information page,Check case information,0,undefined,undefined
73,stl#Case Manager:document list,Check case information,0,undefined,undefined
74,stl#Case Manager:unauthorized request message,Check case information,0,undefined,undefined
75,stl#General staff:document list,Check case information,0,undefined,undefined
76,stl#General staff:unauthorized request message,Check case information,0,undefined,undefined
77,stl#General staff:case information page,Check case information,0,undefined,undefined
78,stl#Youth:case information page,Check case information,0,undefined,undefined
79,stl#Youth:unauthorized request message,Check case information,0,undefined,undefined
80,stl#Youth:unauthorized request,Check case information,0,undefined,undefined
81,stl#Youth:document list,Check case information,0,undefined,undefined
82,Administrator:invalid case information error,Create a new case,0,undefined,undefined
83,Administrator:case information page,Create a new case,0,undefined,undefined
84,Administrator:unauthorized information message,Create a new case,0,undefined,undefined
85,Administrator:Creae new case button,Create a new case,0,undefined,undefined
86,Administrator:success message,Create a new case,0,undefined,undefined
87,Case Manager:Creae new case button,Create a new case,0,undefined,undefined
88,Case Manager:unauthorized information message,Create a new case,0,undefined,undefined
89,Case Manager:success message,Create a new case,0,undefined,undefined
90,Case Manager:invalid case information error,Create a new case,0,undefined,undefined
