id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:invalid answer for security question,Reset Password,0,undefined,undefined
2,Administrator:case management page,Reset Password,0,undefined,undefined
3,Administrator:reset page,Reset Password,0,undefined,undefined
4,Administrator:Reset password button,Reset Password,0,undefined,undefined
5,Administrator:unauthorized error message,Reset Password,0,undefined,undefined
6,Case Manager:reset page,Reset Password,0,undefined,undefined
7,Case Manager:Reset password button,Reset Password,0,undefined,undefined
8,Case Manager:invalid answer for security question,Reset Password,0,undefined,undefined
9,Case Manager:case management page,Reset Password,0,undefined,undefined
10,Case Manager:unauthorized error message,Reset Password,0,undefined,undefined
11,Reset password button:validate role of user,Reset Password,0,undefined,undefined
12,reset new password:User,Reset Password,0,undefined,undefined
13,reset new password:case management page,Reset Password,0,undefined,undefined
14,validate answer of security question:invalid answer for security question,Reset Password,0,undefined,undefined
15,validate answer of security question:reset new password,Reset Password,0,undefined,undefined
16,reset page:validate answer of security question,Reset Password,0,undefined,undefined
17,validate role of user:reset page,Reset Password,0,undefined,undefined
18,validate role of user:role,Reset Password,0,undefined,undefined
19,validate role of user:unauthorized error message,Reset Password,0,undefined,undefined
20,stl#Administrator:invalid answer for security question,Reset Password,0,undefined,undefined
21,stl#Administrator:case management page,Reset Password,0,undefined,undefined
22,stl#Administrator:reset page,Reset Password,0,undefined,undefined
23,stl#Administrator:Reset password button,Reset Password,0,undefined,undefined
24,stl#Administrator:unauthorized error message,Reset Password,0,undefined,undefined
25,stl#Case Manager:reset page,Reset Password,0,undefined,undefined
26,stl#Case Manager:Reset password button,Reset Password,0,undefined,undefined
27,stl#Case Manager:invalid answer for security question,Reset Password,0,undefined,undefined
28,stl#Case Manager:case management page,Reset Password,0,undefined,undefined
29,stl#Case Manager:unauthorized error message,Reset Password,0,undefined,undefined
