id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:validation failed message->User:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,undefined,1,1,0,0
2,stl#User:home page->User:home page,Login,undefined,0,0,0,0
3,stl#User:Login Page->User:Login Page->Login Page:validate input information->validate input information:user information,Login,undefined,2,0,0,0
4,stl#User:Login Page->User:Login Page->Login Page:validate input information->validate input information:send verification code,Login,undefined,2,0,0,0
5,stl#User:success message->User:success message,Login,undefined,1,0,0,0
6,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,undefined,2,2,0,0
7,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:user information,Login,undefined,2,1,0,0
8,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:save case information->save case information:success message,Login,undefined,3,1,0,0
9,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:save case information->save case information:case,Login,undefined,2,1,0,0
10,stl#User:verification code input field->User:verification code input field->verification code input field:validate password->validate password:home page,Login,undefined,1,1,0,0
11,stl#Administrator:success message->Administrator:success message,Login,undefined,1,0,0,0
12,stl#Administrator:home page->Administrator:home page,Login,undefined,0,0,0,0
13,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,undefined,2,2,0,0
14,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:user information,Login,undefined,2,1,0,0
15,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:save case information->save case information:success message,Login,undefined,3,1,0,0
16,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:save case information->save case information:case,Login,undefined,2,1,0,0
17,stl#Administrator:verification code input field->Administrator:verification code input field->verification code input field:validate password->validate password:home page,Login,undefined,1,1,0,0
18,stl#Administrator:Login Page->Administrator:Login Page->Login Page:validate input information->validate input information:user information,Login,undefined,2,0,0,0
19,stl#Administrator:Login Page->Administrator:Login Page->Login Page:validate input information->validate input information:send verification code,Login,undefined,2,0,0,0
20,stl#Administrator:validation failed message->Administrator:validation failed message->validation failed message:redirect to home page->redirect to home page:home page,Login,undefined,1,1,0,0
