id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
1,stl#General staff:unauthorized access error->General staff:unauthorized access error,Mass Email,CTRL,2,0,4,8
2,stl#General staff:unauthorized access error->General staff:unauthorized access error,Mass Email,EXTCLL,2,0,4,8
3,stl#General staff:unauthorized access error->General staff:unauthorized access error,Mass Email,INT,2,0,4,8
4,stl#General staff:unauthorized error message->General staff:unauthorized error message,Mass Email,CTRL,2,0,4,8
5,stl#General staff:Email sent success message->General staff:Email sent success message,Mass Email,CTRL,2,0,12,24
6,stl#General staff:User group list->General staff:User group list->User group list:validate role of user->validate role of user:unauthorized error message,Mass Email,CTRL,4,0,3.3333333333333335,13.333333333333334
7,stl#General staff:User group list->General staff:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,TRAN_NA,9,0,4.75,42.75
8,stl#General staff:User group list->General staff:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Email sent success message,Mass Email,TRAN_NA,9,0,5.75,51.75
9,stl#General staff:User group list->General staff:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Case,Mass Email,TRAN_NA,9,0,4.375,39.375
10,stl#General staff:User group list->General staff:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:email template,Mass Email,TRAN_NA,6,0,2.2,13.200000000000001
11,stl#General staff:User group list->General staff:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:user,Mass Email,TRAN_NA,5,0,2,10
12,stl#General staff:send email page->General staff:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,CTRL,5,0,7.25,36.25
13,stl#General staff:send email page->General staff:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,EXTCLL,5,0,7.25,36.25
14,stl#General staff:send email page->General staff:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,INT,5,0,7.25,36.25
15,stl#General staff:send email page->General staff:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Email sent success message,Mass Email,CTRL,5,0,9.25,46.25
16,stl#General staff:send email page->General staff:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Case,Mass Email,CTRL,5,0,6.5,32.5
17,stl#Case manager:User group list->Case manager:User group list->User group list:validate role of user->validate role of user:unauthorized error message,Mass Email,CTRL,4,0,3.3333333333333335,13.333333333333334
18,stl#Case manager:User group list->Case manager:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,TRAN_NA,9,0,4.75,42.75
19,stl#Case manager:User group list->Case manager:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Email sent success message,Mass Email,TRAN_NA,9,0,5.75,51.75
20,stl#Case manager:User group list->Case manager:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Case,Mass Email,TRAN_NA,9,0,4.375,39.375
21,stl#Case manager:User group list->Case manager:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:email template,Mass Email,TRAN_NA,6,0,2.2,13.200000000000001
22,stl#Case manager:User group list->Case manager:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:user,Mass Email,TRAN_NA,5,0,2,10
23,stl#Case manager:Email sent success message->Case manager:Email sent success message,Mass Email,CTRL,2,0,12,24
24,stl#Case manager:send email page->Case manager:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,CTRL,5,0,7.25,36.25
25,stl#Case manager:send email page->Case manager:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,EXTCLL,5,0,7.25,36.25
26,stl#Case manager:send email page->Case manager:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,INT,5,0,7.25,36.25
27,stl#Case manager:send email page->Case manager:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Email sent success message,Mass Email,CTRL,5,0,9.25,46.25
28,stl#Case manager:send email page->Case manager:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Case,Mass Email,CTRL,5,0,6.5,32.5
29,stl#Case manager:unauthorized error message->Case manager:unauthorized error message,Mass Email,CTRL,2,0,4,8
30,stl#Case manager:unauthorized access error->Case manager:unauthorized access error,Mass Email,CTRL,2,0,4,8
31,stl#Case manager:unauthorized access error->Case manager:unauthorized access error,Mass Email,EXTCLL,2,0,4,8
32,stl#Case manager:unauthorized access error->Case manager:unauthorized access error,Mass Email,INT,2,0,4,8
33,stl#Administrator:unauthorized error message->Administrator:unauthorized error message,Mass Email,CTRL,2,0,4,8
34,stl#Administrator:User group list->Administrator:User group list->User group list:validate role of user->validate role of user:unauthorized error message,Mass Email,CTRL,4,0,3.3333333333333335,13.333333333333334
35,stl#Administrator:User group list->Administrator:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:load email template->load email template:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,TRAN_NA,9,0,4.75,42.75
