id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Case Manager:unauthorized information message->Case Manager:unauthorized information message,Upload document,CTRL,2,0,4,1,8
2,stl#Case Manager:unauthorized information message->Case Manager:unauthorized information message,Upload document,EXTCLL,2,0,4,1,8
3,stl#Case Manager:unauthorized information message->Case Manager:unauthorized information message,Upload document,INT,2,0,4,1,8
4,stl#Case Manager:case information page->Case Manager:case information page,Upload document,CTRL,2,0,3,1,6
5,stl#Case Manager:case information page->Case Manager:case information page,Upload document,EXTCLL,2,0,3,1,6
6,stl#Case Manager:case information page->Case Manager:case information page,Upload document,INT,2,0,3,1,6
7,stl#Case Manager:document upload page->Case Manager:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:update case information page->update case information page:case information page,Upload document,TRAN_NA,6,0,4.6,5,27.599999999999998
8,stl#Case Manager:document upload page->Case Manager:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:document,Upload document,CTRL,5,0,5.25,4,26.25
9,stl#Case Manager:document upload page->Case Manager:document upload page->document upload page:Validate the information of description->Validate the information of description:invalid description message,Upload document,CTRL,4,0,5.666666666666667,3,22.666666666666668
10,stl#Case Manager:invalid description message->Case Manager:invalid description message,Upload document,CTRL,2,0,6,1,12
11,stl#Case Manager:Add new button->Case Manager:Add new button->Add new button:validate role of user->validate role of user:unauthorized information message,Upload document,TRAN_NA,4,0,2.6666666666666665,3,10.666666666666666
12,stl#Case Manager:Add new button->Case Manager:Add new button->Add new button:validate role of user->validate role of user:role,Upload document,TRAN_NA,4,0,1.6666666666666667,3,6.666666666666667
13,stl#Case Manager:Add new button->Case Manager:Add new button->Add new button:validate role of user->validate role of user:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:update case information page->update case information page:case information page,Upload document,TRAN_NA,8,0,3.857142857142857,7,30.857142857142858
14,stl#Case Manager:Add new button->Case Manager:Add new button->Add new button:validate role of user->validate role of user:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:document,Upload document,TRAN_NA,7,0,4.166666666666667,6,29.166666666666668
15,stl#Case Manager:Add new button->Case Manager:Add new button->Add new button:validate role of user->validate role of user:document upload page->document upload page:Validate the information of description->Validate the information of description:invalid description message,Upload document,TRAN_NA,6,0,4.2,5,25.200000000000003
16,stl#Administrator:invalid description message->Administrator:invalid description message,Upload document,CTRL,2,0,6,1,12
17,stl#Administrator:document upload page->Administrator:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:update case information page->update case information page:case information page,Upload document,TRAN_NA,6,0,4.6,5,27.599999999999998
18,stl#Administrator:document upload page->Administrator:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:document,Upload document,CTRL,5,0,5.25,4,26.25
19,stl#Administrator:document upload page->Administrator:document upload page->document upload page:Validate the information of description->Validate the information of description:invalid description message,Upload document,CTRL,4,0,5.666666666666667,3,22.666666666666668
20,stl#Administrator:unauthorized information message->Administrator:unauthorized information message,Upload document,CTRL,2,0,4,1,8
21,stl#Administrator:unauthorized information message->Administrator:unauthorized information message,Upload document,EXTCLL,2,0,4,1,8
22,stl#Administrator:unauthorized information message->Administrator:unauthorized information message,Upload document,INT,2,0,4,1,8
23,stl#Administrator:case information page->Administrator:case information page,Upload document,CTRL,2,0,3,1,6
24,stl#Administrator:case information page->Administrator:case information page,Upload document,EXTCLL,2,0,3,1,6
25,stl#Administrator:case information page->Administrator:case information page,Upload document,INT,2,0,3,1,6
26,stl#Administrator:Add new button->Administrator:Add new button->Add new button:validate role of user->validate role of user:unauthorized information message,Upload document,TRAN_NA,4,0,2.6666666666666665,3,10.666666666666666
27,stl#Administrator:Add new button->Administrator:Add new button->Add new button:validate role of user->validate role of user:role,Upload document,TRAN_NA,4,0,1.6666666666666667,3,6.666666666666667
28,stl#Administrator:Add new button->Administrator:Add new button->Add new button:validate role of user->validate role of user:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:update case information page->update case information page:case information page,Upload document,TRAN_NA,8,0,3.857142857142857,7,30.857142857142858
29,stl#Administrator:Add new button->Administrator:Add new button->Add new button:validate role of user->validate role of user:document upload page->document upload page:Validate the information of description->Validate the information of description:save uploaded document->save uploaded document:document,Upload document,TRAN_NA,7,0,4.166666666666667,6,29.166666666666668
30,stl#Administrator:Add new button->Administrator:Add new button->Add new button:validate role of user->validate role of user:document upload page->document upload page:Validate the information of description->Validate the information of description:invalid description message,Upload document,TRAN_NA,6,0,4.2,5,25.200000000000003
