id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:case information page,Check case information,0,undefined,undefined
2,Administrator:document list,Check case information,0,undefined,undefined
3,Administrator:unauthorized request message,Check case information,0,undefined,undefined
4,Administrator:unauthorized request,Check case information,0,undefined,undefined
5,Administrator:document list,Check case information,0,undefined,undefined
6,Administrator:unauthorized request message,Check case information,0,undefined,undefined
7,Administrator:case information page,Check case information,0,undefined,undefined
8,Case Manager:unauthorized request,Check case information,0,undefined,undefined
9,Case Manager:case information page,Check case information,0,undefined,undefined
10,Case Manager:document list,Check case information,0,undefined,undefined
11,Case Manager:unauthorized request message,Check case information,0,undefined,undefined
12,General staff:document list,Check case information,0,undefined,undefined
13,General staff:unauthorized request message,Check case information,0,undefined,undefined
14,General staff:case information page,Check case information,0,undefined,undefined
15,Youth:case information page,Check case information,0,undefined,undefined
16,Youth:unauthorized request message,Check case information,0,undefined,undefined
17,Youth:unauthorized request,Check case information,0,undefined,undefined
18,Youth:document list,Check case information,0,undefined,undefined
19,Validate print/download request:role,Check case information,0,undefined,undefined
20,Validate print/download request:unauthorized request,Check case information,0,undefined,undefined
21,Validate print/download request:print,Check case information,0,undefined,undefined
22,Validate print/download request:download,Check case information,0,undefined,undefined
23,case information page:Validate print/download request,Check case information,0,undefined,undefined
24,display case information page:case information,Check case information,0,undefined,undefined
25,display case information page:case information page,Check case information,0,undefined,undefined
26,verify the role of the user:display case information page,Check case information,0,undefined,undefined
27,document list:verify the role of the user,Check case information,0,undefined,undefined
28,verify the role of the user:role,Check case information,0,undefined,undefined
29,verify the role of the user:unauthorized request message,Check case information,0,undefined,undefined
30,stl#Administrator:case information page,Check case information,0,undefined,undefined
31,stl#Administrator:document list,Check case information,0,undefined,undefined
32,stl#Administrator:unauthorized request message,Check case information,0,undefined,undefined
33,stl#Administrator:unauthorized request,Check case information,0,undefined,undefined
34,stl#Administrator:document list,Check case information,0,undefined,undefined
35,stl#Administrator:unauthorized request message,Check case information,0,undefined,undefined
36,stl#Administrator:case information page,Check case information,0,undefined,undefined
37,stl#Case Manager:unauthorized request,Check case information,0,undefined,undefined
38,stl#Case Manager:case information page,Check case information,0,undefined,undefined
39,stl#Case Manager:document list,Check case information,0,undefined,undefined
40,stl#Case Manager:unauthorized request message,Check case information,0,undefined,undefined
41,stl#General staff:document list,Check case information,0,undefined,undefined
42,stl#General staff:unauthorized request message,Check case information,0,undefined,undefined
43,stl#General staff:case information page,Check case information,0,undefined,undefined
44,stl#Youth:case information page,Check case information,0,undefined,undefined
45,stl#Youth:unauthorized request message,Check case information,0,undefined,undefined
46,stl#Youth:unauthorized request,Check case information,0,undefined,undefined
47,stl#Youth:document list,Check case information,0,undefined,undefined
