id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#User:success message->User:success message,Create a limited user_admin,CTRL,2,0,2,4
2,stl#User:success message->User:success message,Create a limited user_admin,EXTCLL,2,0,2,4
3,stl#User:success message->User:success message,Create a limited user_admin,INT,2,0,2,4
4,stl#User:role validation failed message->User:role validation failed message->role validation failed message:validation failed message,Create a limited user_admin,TRAN_NA,3,0,13,39
5,stl#User:user information page->User:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:user info,Create a limited user_admin,TRAN_NA,4,0,9.666666666666666,38.666666666666664
6,stl#User:user information page->User:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:return generate success message->return generate success message:success message,Create a limited user_admin,TRAN_NA,5,0,5.25,26.25
7,stl#User:validation failed message->User:validation failed message,Create a limited user_admin,CTRL,2,0,13,26
8,stl#User:validation failed message->User:validation failed message,Create a limited user_admin,EXTCLL,2,0,13,26
9,stl#User:validation failed message->User:validation failed message,Create a limited user_admin,INT,2,0,13,26
10,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:user info,Create a limited user_admin,TRAN_NA,4,0,9.666666666666666,38.666666666666664
11,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:role validation failed message->role validation failed message:validation failed message,Create a limited user_admin,TRAN_NA,5,0,10.5,52.5
12,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:user info,Create a limited user_admin,TRAN_NA,7,0,8,56
13,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:user information page->user information page:insert the new username and password into the user db->insert the new username and password into the user db:return generate success message->return generate success message:success message,Create a limited user_admin,TRAN_NA,8,0,5.714285714285714,45.714285714285715
14,stl#User:"create user" button->User:"create user" button->"create user" button:validate the role of user->validate the role of user:generate a random password for the username->generate a random password for the username:insert the new username and password into the user db->insert the new username and password into the user db:user info,Create a limited user_admin,TRAN_NA,6,0,7,42
