id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#User:Provider created success message->User:Provider created success message->Provider created success message:Update provider rating information->Update provider rating information:Rating,Add New Provider,TRAN_NA,4,0,4.333333333333333,17.333333333333332
2,stl#User:provider information input page->User:provider information input page->provider information input page:create a new provider->create a new provider:Provider created success message->Provider created success message:Update provider rating information->Update provider rating information:Rating,Add New Provider,TRAN_NA,6,0,4.4,26.400000000000002
3,stl#User:provider information input page->User:provider information input page->provider information input page:create a new provider->create a new provider:Provider,Add New Provider,TRAN_NA,4,0,5.333333333333333,21.333333333333332
4,stl#User:Add provider button->User:Add provider button->Add provider button:Display provider add page->Display provider add page:provider information input page->provider information input page:create a new provider->create a new provider:Provider created success message->Provider created success message:Update provider rating information->Update provider rating information:Rating,Add New Provider,TRAN_NA,8,0,5.142857142857143,41.142857142857146
5,stl#User:Add provider button->User:Add provider button->Add provider button:Display provider add page->Display provider add page:provider information input page->provider information input page:create a new provider->create a new provider:Provider,Add New Provider,TRAN_NA,6,0,6,36
1,stl#User:User profile page->User:User profile page->User profile page:verify input message->verify input message:save udpated profile->save udpated profile:profile,Edit Consumer Profile,TRAN_NA,5,0,3,15
2,stl#User:User profile page->User:User profile page->User profile page:verify input message->verify input message:Error message for update failure,Edit Consumer Profile,TRAN_NA,4,0,3,12
3,stl#User:Error message for update failure->User:Error message for update failure,Edit Consumer Profile,CTRL,2,0,3,6
4,stl#User:Error message for update failure->User:Error message for update failure,Edit Consumer Profile,EXTCLL,2,0,3,6
5,stl#User:Error message for update failure->User:Error message for update failure,Edit Consumer Profile,INT,2,0,3,6
1,stl#User:Search provide page->User:Search provide page->Search provide page:Display all provider based on criteria->Display all provider based on criteria:Provider,Follow/unfollow a provider,TRAN_NA,4,0,2.6666666666666665,10.666666666666666
2,stl#User:Search provide page->User:Search provide page->Search provide page:Display all provider based on criteria->Display all provider based on criteria:follow/unfollow button->follow/unfollow button:Popup confirm diagram->Popup confirm diagram:Redirect to search page->Redirect to search page:Search provide page->Search provide page:Display all provider based on criteria,Follow/unfollow a provider,TRAN_NA,8,0,2.7142857142857144,21.714285714285715
3,stl#User:Search provide page->User:Search provide page->Search provide page:Display all provider based on criteria->Display all provider based on criteria:follow/unfollow button->follow/unfollow button:Popup confirm diagram->Popup confirm diagram:Confirm dialog->Confirm dialog:Update subscription information->Update subscription information:Subscription,Follow/unfollow a provider,TRAN_NA,8,0,2.5714285714285716,20.571428571428573
4,stl#User:Confirm dialog->User:Confirm dialog->Confirm dialog:Update subscription information->Update subscription information:Subscription,Follow/unfollow a provider,CTRL,4,0,2.3333333333333335,9.333333333333334
5,stl#User:Confirm dialog->User:Confirm dialog->Confirm dialog:Update subscription information->Update subscription information:Subscription,Follow/unfollow a provider,EXTCLL,4,0,2.3333333333333335,9.333333333333334
6,stl#User:Confirm dialog->User:Confirm dialog->Confirm dialog:Update subscription information->Update subscription information:Subscription,Follow/unfollow a provider,INT,4,0,2.3333333333333335,9.333333333333334
7,stl#User:follow/unfollow button->User:follow/unfollow button->follow/unfollow button:Popup confirm diagram->Popup confirm diagram:Redirect to search page->Redirect to search page:Search provide page->Search provide page:Display all provider based on criteria->Display all provider based on criteria:Provider,Follow/unfollow a provider,TRAN_NA,7,0,2.8333333333333335,19.833333333333336
8,stl#User:follow/unfollow button->User:follow/unfollow button->follow/unfollow button:Popup confirm diagram->Popup confirm diagram:Redirect to search page->Redirect to search page:Search provide page->Search provide page:Display all provider based on criteria->Display all provider based on criteria:follow/unfollow button->follow/unfollow button:Popup confirm diagram,Follow/unfollow a provider,TRAN_NA,8,0,2.857142857142857,22.857142857142858
9,stl#User:follow/unfollow button->User:follow/unfollow button->follow/unfollow button:Popup confirm diagram->Popup confirm diagram:Confirm dialog->Confirm dialog:Update subscription information->Update subscription information:Subscription,Follow/unfollow a provider,TRAN_NA,6,0,2.6,15.600000000000001
1,stl#User:Login page->User:Login page->Login page:verify user information->verify user information:user info,Login,TRAN_NA,4,0,2.6666666666666665,10.666666666666666
2,stl#User:Login page->User:Login page->Login page:verify user information->verify user information:My account page,Login,TRAN_NA,4,0,2,8
3,stl#User:Login page->User:Login page->Login page:verify user information->verify user information:Invalid information error message->Invalid information error message:redirect to login page->redirect to login page:Login page->Login page:verify user information,Login,TRAN_NA,7,0,2.3333333333333335,16.333333333333336
4,stl#User:My account page->User:My account page,Login,CTRL,2,0,2,4
5,stl#User:My account page->User:My account page,Login,EXTCLL,2,0,2,4
6,stl#User:My account page->User:My account page,Login,INT,2,0,2,4
