Project_No,Project_Name,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,Real_Effort_Person_Hours,Norm_Effort,Use_Case_Num,KSLOC,Application_Type
6,F14a_black_professionals_net,1,2,1,8,11,5,2,107,115,0.9,1.03,106.605,146,7.874865156,18,1.5,Mobile App
12,f14a_cash_doctor,1,2,2,11,6,4,0,70,81,0.9,1.025,74.7225,724,39.24119241,10,7.593,Web App
8,f14a_e_lock_box,4,2,1,11,6,9,6,126,137,0.8,1.23,134.808,125,7.418699187,21,3.679,Web App
15,f14a_gotrla,2,2,1,9,1,6,3,68,77,0.835,0.995,63.973525,482,29.00731201,10,0.73,Web App
13,F14a_mobile_application_for_mobile_controlled_lighting,1,2,1,8,2,3,0,40,48,0.925,1.04,46.176,257.5,13.38357588,5,3.2,Web App
10,F14a_REFERsy,3,3,1,12,6,3,1,61,73,0.925,0.995,67.187375,263,14.28765449,10,2.258,Web App
11,F14a_sharethetraining_com,3,0,2,9,5,8,0,105,114,0.88,1.04,104.3328,571,31.19536713,13,6.415,Web App
5,F14a_snapp_voice_communication_system,2,2,2,12,33,6,6,231,243,0.96,1.03,240.2784,147,7.382686084,45,6.569,Mobile App
19,F14a_soccer_data_Web_crawler,2,2,3,15,2,6,0,70,85,0.915,1.025,79.719375,268.5,14.31427429,8,2.95,Mobile App
2,F14a_tipsure_com,2,2,0,6,2,1,5,25,31,0.855,1.025,27.167625,266,15.17615176,8,7.25,Web App
9,F14a_women_at_work_Website_redesign,2,1,3,13,4,3,1,51,64,0.855,1.025,56.088,140.5,8.015974897,8,0.552,Mobile App
4,F15a_combat_conflict,3,0,1,6,4,3,0,50,56,0.795,0.92,40.9584,1281,87.57178015,7,8.116,Web App
6,F15a_construction_meeting_minutes_application,1,1,1,6,4,10,4,124,130,0.925,0.95,114.2375,1482.5,84.35277383,18,7.365,Web App
3,F15a_linggo,2,2,0,6,15,5,6,131,137,1.04,1.12,159.5776,1142,6.26717033,26,1.386,Mobile App
7,F15a_nice_ecommerse,1,3,3,16,16,6,2,142,158,0.805,1.025,130.36975,617,37.3882745,24,4.71,Mobile&Web App
5,F15a_tour_conductor,2,2,1,9,5,2,1,46,55,0.885,0.89,43.32075,1347,85.50752238,8,8.209,Mobile&Web App
1,s14b_location_based_ad,3,2,2,13,28,9,10,240,253,1.12,1.325,375.452,3680,123.9892183,47,5.129,Web App
7,S15b_mission_science_irobots,2,2,9,33,8,1,4,54,87,1.14,1.15,114.057,759,5.568268497,13,8.059,Mobile&Web App
3,s15b_snap_valet,1,2,2,11,0,3,8,38,49,0.925,0.965,43.738625,302.5,16.94440555,11,3.12,Mobile Game
1,S15b_we_are_trojans_network,3,0,2,9,0,5,4,54,63,0.935,0.935,55.076175,1965,112.3852555,9,21.344,Mobile&Web App
3,s16_bad_driver,2,4,2,16,11,1,0,65,81,1.135,1.25,114.91875,1392,49.05726872,12,3.4,Mobile&Web App
4,S16b_flower_seeker,3,2,1,10,13,3,0,95,105,0.89,1.025,95.78625,804.5,44.0942724,16,2.3,Mobile&Web App
2,s16b_Picshare_AA,2,2,0,6,22,2,0,130,136,0.94,0.875,111.86,1592,96.7781155,24,2.1,Mobile&Web App
1,s16b_Picshare_RA,1,2,1,8,17,5,2,137,145,0.94,0.89,121.307,3113,186.0506813,24,2.1,Mobile Game
4,s17_tikiman_go,1,1,0,3,28,0,0,140,143,1.175,1.31,220.11275,737,23.94023063,28,1.4,Mobile&Web App
