Data_Set,Data_Points,Estimator_Label,Estimator,M,P15,P25,P50,P_AVG
D1,34,Bayesian,1,0.7144747,0.4416667,0.4916667,0.7583333,0.31
D1,34,A-Priori,2,0.8824038,0.3083333,0.3583333,0.475,0.27
D1,34,Original,3,0.8834766,0.3083333,0.3333333,0.5583333,0.28
D1,34,Regression,4,0.8926381,0.2166667,0.3333333,0.475,0.18
D2,71,Bayesian,1,0.2091829,0.4178571,0.6178571,0.9571429,0.51
D2,71,A-Priori,2,0.2753454,0.2964286,0.4875,0.8875,0.32
D2,71,Original,3,0.2759596,0.2678571,0.5017857,0.8875,0.34
D2,71,Regression,4,0.2853946,0.3071429,0.5214286,0.8732143,0.42
D3,105,Bayesian,1,1.203288638,0.2345455,0.4072727,0.6663636,0.37
D3,105,A-Priori,2,1.8185504,0.1872727,0.2727273,0.6172727,0.34
D3,105,Original,3,1.7949966,0.1972727,0.2827273,0.6272727,0.22
D3,105,Regression,4,1.2085775,0.2654545,0.3690909,0.6463636,0.23
