id,element,useCase,type,outboundDegree,inboundDegree
1,Action 0,Diagram2,0,undefined,undefined
2,Action 1,Diagram2,0,undefined,undefined
3,Action 2,Diagram2,0,undefined,undefined
4,alt 0,Diagram2,0,undefined,undefined
5,11,Diagram2,0,undefined,undefined
6,2,Diagram2,0,undefined,undefined
7,3,Diagram2,0,undefined,undefined
8,alt1,Diagram2,0,undefined,undefined
9,alt3,Diagram2,0,undefined,undefined
10,alter2,Diagram2,0,undefined,undefined
11,stl#Action 0,Diagram2,0,undefined,undefined
12,stl#Action 1,Diagram2,0,undefined,undefined
